fastjet-doc 3.0.6+dfsg-1
fastlink-doc 4.1P-fix95-3
fbbdoc 1:1999-2.1
festival-doc 1.4.2-8
ffmpeg-doc 1.4.2-8
firebird2.5-common-doc 2.5.2.26540.ds4-9ubuntu1
firebird2.5-doc 2.5.2.26540.ds4-9ubuntu1
firebird2.5-examples 2.5.2.26540.ds4-9ubuntu1
flann-doc 1.8.4-3
flex-doc 2.5.39-8~ubuntu14.04.1
flex-old-doc 2.5.4a-10ubuntu1
fltk1.1-doc 1.1.10-17
fltk1.3-doc 1.3.2-4
focalinux-html 2010-09-3
focalinux-text 2010-09-3
fontforge-doc 20120731.b-1
fonts-cwtex-docs 1.0-3
fop-doc 1:1.1.dfsg-2ubuntu1
fp-docs 2.6.2-8
fp-docs 2.6.2-8
fp-docs-2.6.0 2.6.2-8
fprintd-doc 0.5.1-1
freebsd-manpages 9.2+1-1
freediams-doc-en 0.9.0-2
freediams-doc-fr 0.9.0-2
freefem++-doc 3.26-2-3
freefem-doc 3.5.8-5ubuntu1
freemedforms-emr-doc-en 0.9.0-2
freemedforms-emr-doc-fr 0.9.0-2
freemind-doc 0.9.0+dfsg-3
freepops-doc 0.2.9-8
freesci-doc 0.6.4-7.2
freevo-doc 1.9.2b2-4.2
frei0r-plugins-doc 1.1.22git20091109-1.4
frown-doc 0.6.1-14
fsl-doc-4.1 4.1.9-7.2
ftp-proxy-doc 1.9.2.4-8
ftphs-doc 1.9.2.4-8
ftphs-doc 1.9.2.4-8
funnelweb-doc 3.2d-3
funny-manpages 1.3-5
fwbuilder-doc 5.1.0-4
fweb-doc 1.62-12
galax-doc 1.1-11
gambc-doc 4.2.8-1.1
gamera-doc 3.3.3-2ubuntu1
gamgi-doc 0.17-1
gammu-doc 1.33.0-3
gap-doc 4r6p5-3
garlic-doc 1.6-1
gauche-doc 0.9.3.3-8ubuntu1
gawk-doc 4.0.1+ds-1
gcc-4.4-doc 4.4.7-8ubuntu1
gcc-4.6-doc 4.6.4-6ubuntu2
gcc-4.7-doc 4.7.3-12ubuntu1
gcc-doc 4:4.8.2-1ubuntu6
gcc-doc-base 4:4.8.2-1ubuntu6
gccgo-4.6-doc 4:4.8.2-1ubuntu6
gccgo-4.7-doc 4.7.3-12ubuntu1
gcj-4.6-doc 4.7.3-12ubuntu1
gcj-4.7-doc 4.7.3-12ubuntu1
gcj-doc 4.7.3-12ubuntu1
gcl-doc 2.6.10-2
gdb-doc 7.7.1-0ubuntu5~14.04.2
gdcm-doc 2.2.4-1.1ubuntu4
geant321-doc 1:3.21.14.dfsg-11
geda-doc 1:1.8.2-4
gem-doc 1:0.93.3-5ubuntu4
geotranz-doc 3.3-1
geotranz-help 3.3-1
gettext-doc 0.18.3.1-1ubuntu3
gfarm-doc 2.4.1-1.1ubuntu1
gfortran-4.4-doc 4.4.7-8ubuntu1
gfortran-4.6-doc 4.6.4-6ubuntu2
gfortran-4.7-doc 4.7.3-12ubuntu1
gfortran-doc 4:4.8.2-1ubuntu6
ghc-doc 7.6.3-10
ghc6-doc 7.6.3-10
ghostscript-doc 9.10~dfsg-0ubuntu10.2
gimp-help-common 2.6.1-1
gimp-help-de 2.6.1-1
gimp-help-en 2.6.1-1
gimp-help-es 2.6.1-1
gimp-help-fr 2.6.1-1
gimp-help-it 2.6.1-1
gimp-help-ko 2.6.1-1
gimp-help-nl 2.6.1-1
gimp-help-nn 2.6.1-1
gimp-help-pl 2.6.1-1
gimp-help-ru 2.6.1-1
gimp-help-sv 2.6.1-1
git-doc 1:1.9.1-1ubuntu0.1
git-man 1:1.9.1-1ubuntu0.1
gitmagic 20140125-1
giws-doc 2.0.2-1
gle-doc 3.1.0-7ubuntu2
glibc-doc 2.19-0ubuntu6.6
glibc-doc-reference 2.19-0ubuntu1
globus-gram-job-manager-doc 13.53-1
globus-gram-job-manager-scripts-doc 5.0-1
glpk-doc 4.52.1-2build1
gman 0.9.3-5.2ubuntu1
gmp-doc 5.1.2-1
gmt-doc 4.5.11-1build1
gmt-doc-pdf 4.5.11-1build1
gmt-doc-ps 3.4.4-1
gmt-examples 4.5.11-1build1
gmt-manpages 3.4.4-1
gmt-tutorial 3.4-1.1
gmt-tutorial-pdf 4.5.11-1build1
gnash-doc 0.8.11~git20130903-3ubuntu1
gnat-4.4-doc 0.8.11~git20130903-3ubuntu1
gnat-4.6-doc 4.6.4-0ubuntu5
gnat-doc 4.6ubuntu4
gnat-gps-doc 5.0-16
gnome-api-docs 1:3.8+4ubuntu3
gnu-smalltalk-doc 3.2.4-2
gnu-standards 2010.03.11-1
gnucash-docs 2.6.1-1
gnuift-doc 0.1.14-12.1
gnumed-doc 1.4.6+dfsg-1
gnumeric-doc 1.12.9-1
gnupg-doc 2003.04.06+dak1-1ubuntu1
gnuplot-doc 4.6.4-2
gnuradio-doc 3.7.2.1-5
gnustep-base-doc 1.24.0-1ubuntu3
gnustep-core-doc 7.7
gnustep-gui-doc 0.22.0-1ubuntu2
gnustep-make-doc 2.6.2-2.1ubuntu1
gnutls26-doc 2.12.23-12ubuntu2.2
golang-doc 2:1.2.1-2ubuntu1
gprbuild-doc 2011-4
gprolog-doc 1.3.0-6.1
gpsbabel-doc 1.4.3-1ubuntu1
gpsim-doc 0.22.0-2
gputils-doc 0.13.7-1
graphviz-doc 2.36.0-0ubuntu3.1
grass-dev-doc 6.4.3-3
grass-doc 6.4.3-3
gretl-doc 1.9.14-2
gri-html-doc 2.12.23-7
gri-pdf-doc 2.12.23-7
gridsite-doc 2.0.4-2
groovy-doc 2.0.0~beta2+isreally1.8.6-0ubuntu1
grub-doc 0.97-29ubuntu66
grub-legacy-doc 0.97-29ubuntu66
gsl-doc-info 1.16-1
gsl-doc-pdf 1.16-1
gsl-ref-html 1.16-1
gsl-ref-psdoc 1.16-1
gsoap-doc 2.8.16-2
gss-doc 1.0.2-3ubuntu1
gss-man 1.0.2-3ubuntu1
gstreamer0.10-buzztard-doc 0.6.0-1ubuntu1
gstreamer0.10-doc 0.10.36-1.2ubuntu3
gstreamer0.10-gnonlin-doc 0.10.17-2ubuntu1
gstreamer0.10-plugins-bad-doc 0.10.23-7.2ubuntu1.1
gstreamer0.10-plugins-base-doc 0.10.36-1.1ubuntu2
gstreamer0.10-plugins-good-doc 0.10.31-3+nmu1ubuntu5
gstreamer0.10-plugins-ugly-doc 0.10.19-2ubuntu5
gtkmm-documentation 3.8.0-1
guile-1.6-doc 3.8.0-1
guile-1.8-doc 1.8.8+1-8ubuntu3
guile-1.8-doc-non-dfsg 1.8.8+1-1.1
guile-2.0-doc 2.0.9+1-1ubuntu1
gutenprint-doc 5.2.10~pre2-0ubuntu2
gyoto-doc 0.1.0-2
hal-doc 0.1.0-2
handlersocket-doc 1.1.0-7-g1044a28-1.1build1
harden-doc 3.15.1
haskell-agda-doc 3.15.1
haskell-agda-doc 3.15.1
haskell-convertible-doc 3.15.1
haskell-convertible-doc 3.15.1
haskell-cpphs-doc 3.15.1
haskell-cpphs-doc 3.15.1
haskell-doc 20061127
haskell-edison-api-doc 20061127
haskell-edison-api-doc 20061127
haskell-edison-core-doc 20061127
haskell-edison-core-doc 20061127
haskell-haskelldb-doc 20061127
haskell-haskelldb-doc 20061127
haskell-hdbc-doc 20061127
haskell-hdbc-doc 20061127
haskell-hdbc-odbc-doc 20061127
haskell-hdbc-odbc-doc 20061127
haskell-hdbc-postgresql-doc 20061127
haskell-hdbc-postgresql-doc 20061127
haskell-hdbc-sqlite3-doc 20061127
haskell-hdbc-sqlite3-doc 20061127
haskell-hscurses-doc 20061127
