a56 1.3+dfsg-8
fenix-plugins-system 0.0.20070803-5.1
fhist 1.18-1
finch-dev 1:2.10.9-0ubuntu3.2
fiu-utils 0.92-1build2
fixincludes 1:4.8.2-19ubuntu1
flatzinc 4.2.1-1
flex 2.5.39-8~ubuntu14.04.1
flex-old 2.5.4a-10ubuntu1
flexc++ 1.08.00-1
flexml 1.9.6-1
flite1-dev 1.4-release-8
fluid 1.3.2-4
fort77 1.15-10
fosfat-dev 0.4.0-4
foundry 0.0.20130809-2
fp-compiler 2.6.2-8
fp-compiler 2.6.2-8
fp-compiler-2.6.0 2.6.2-8
fp-ide 2.6.2-8
fp-ide 2.6.2-8
fp-ide-2.6.0 2.6.2-8
fp-units-base 2.6.2-8
fp-units-base 2.6.2-8
fp-units-base-2.6.0 2.6.2-8
fp-units-db 2.6.2-8
fp-units-db 2.6.2-8
fp-units-db-2.6.0 2.6.2-8
fp-units-fcl 2.6.2-8
fp-units-fcl 2.6.2-8
fp-units-fcl-2.6.0 2.6.2-8
fp-units-fv 2.6.2-8
fp-units-fv 2.6.2-8
fp-units-fv-2.6.0 2.6.2-8
fp-units-gfx 2.6.2-8
fp-units-gfx 2.6.2-8
fp-units-gfx-2.6.0 2.6.2-8
fp-units-gnome1 2.6.2-8
fp-units-gnome1 2.6.2-8
fp-units-gnome1-2.6.0 2.6.2-8
fp-units-gtk 2.6.2-8
fp-units-gtk 2.6.2-8
fp-units-gtk-2.6.0 2.6.2-8
fp-units-gtk2 2.6.2-8
fp-units-gtk2 2.6.2-8
fp-units-gtk2-2.6.0 2.6.2-8
fp-units-i386 2.6.2-8
fp-units-i386 2.6.2-8
fp-units-i386-2.6.0 2.6.2-8
fp-units-math 2.6.2-8
fp-units-math 2.6.2-8
fp-units-math-2.6.0 2.6.2-8
fp-units-misc 2.6.2-8
fp-units-misc 2.6.2-8
fp-units-misc-2.6.0 2.6.2-8
fp-units-multimedia 2.6.2-8
fp-units-multimedia 2.6.2-8
fp-units-multimedia-2.6.0 2.6.2-8
fp-units-net 2.6.2-8
fp-units-net 2.6.2-8
fp-units-net-2.6.0 2.6.2-8
fp-units-rtl 2.6.2-8
fp-units-rtl 2.6.2-8
fp-units-rtl-2.6.0 2.6.2-8
fp-utils 2.6.2-8
fp-utils 2.6.2-8
fp-utils-2.6.0 2.6.2-8
fpc 2.6.2-8
fpc 2.6.2-8
fpc-2.6.0 2.6.2-8
fpc-source 2.6.2-8
fpc-source 2.6.2-8
fpc-source-2.6.0 2.6.2-8
frama-c 20130601+fluorine3+dfsg-2build1
frama-c-base 20130601+fluorine3+dfsg-2build1
freebsd-buildutils 10.0-3ubuntu1
freebsd-glue 0.2.17
freetds-dev 0.91-5
frei0r-plugins-dev 1.1.22git20091109-1.4
frown 0.6.1-14
fso-specs 2012.07.27.2-1
fteqcc 3343+svn3400-3
ftgl-dev 2.1.3~rc5-4+nmu1
ftjam 2.5.2-1.1
ftnchek 3.3.1-5
funnelweb 3.2-5
fusil 1.4-1
fuzz 0.6-14
fweb 1.62-12
g++ 4:4.8.2-1ubuntu6
g++-4.4 4.4.7-8ubuntu1
g++-4.4-multilib 4.4.7-8ubuntu1
g++-4.4-spu 4.4.7-8ubuntu1
g++-4.6 4.6.4-6ubuntu2
g++-4.6-multilib 4.6.4-6ubuntu2
g++-4.6-spu 4.6.4-6ubuntu2
g++-4.7 4.7.3-12ubuntu1
g++-4.7-multilib 4.7.3-12ubuntu1
g++-4.7-spu 4.7.3-12ubuntu1
g++-mingw-w64 4.8.2-10ubuntu2+12
g++-mingw-w64-i686 4.8.2-10ubuntu2+12
g++-mingw-w64-x86-64 4.8.2-10ubuntu2+12
g++-multilib 4:4.8.2-1ubuntu6
g++-spu 4:4.8.2-1ubuntu6
gambas3 3.1.1-2.2ubuntu4
gambas3-dev 3.1.1-2.2ubuntu4
gambas3-examples 3.1.1-2.2ubuntu4
gambas3-gb-cairo 3.1.1-2.2ubuntu4
gambas3-gb-dbus 3.1.1-2.2ubuntu4
gambas3-gb-form-stock 3.1.1-2.2ubuntu4
gambas3-ide 3.1.1-2.2ubuntu4
gant 1.9.9-3
gap-dev 4r6p5-3
gaphor 0.17.2-1
gcc 4:4.8.2-1ubuntu6
gcc-4.4 4.4.7-8ubuntu1
gcc-4.4-multilib 4.4.7-8ubuntu1
gcc-4.4-source 4.4.7-8ubuntu1
gcc-4.4-spu 4.4.7-8ubuntu1
gcc-4.6 4.6.4-6ubuntu2
gcc-4.6-multilib 4.6.4-6ubuntu2
gcc-4.6-plugin-dev 4.6.4-6ubuntu2
gcc-4.6-source 4.6.4-6ubuntu2
gcc-4.6-spu 4.6.4-6ubuntu2
gcc-4.7 4.7.3-12ubuntu1
gcc-4.7-multilib 4.7.3-12ubuntu1
gcc-4.7-plugin-dev 4.7.3-12ubuntu1
gcc-4.7-source 4.7.3-12ubuntu1
gcc-4.7-spu 4.7.3-12ubuntu1
gcc-avr 1:4.8-2.1
gcc-h8300-hms 1:3.4.6+dfsg2-1ubuntu1
gcc-m68hc1x 1:3.3.6+3.1+dfsg-3ubuntu1
gcc-mingw-w64 4.8.2-10ubuntu2+12
gcc-mingw-w64-base 4.8.2-10ubuntu2+12
gcc-mingw-w64-i686 4.8.2-10ubuntu2+12
gcc-mingw-w64-x86-64 4.8.2-10ubuntu2+12
gcc-mingw32 4.8.2-10ubuntu2+12
gcc-msp430 4.6.3~mspgcc-20120406-5
gcc-multilib 4:4.8.2-1ubuntu6
gcc-spu 4:4.8.2-1ubuntu6
gccgo 4:4.9-1ubuntu6
gccgo-4.7 4.7.3-12ubuntu1
gccgo-4.7-multilib 4.7.3-12ubuntu1
gccgo-multilib 4:4.9-1ubuntu6
gccxml 0.9.0+git20130511-1ubuntu2
gcin-dev 2.7.6.1+dfsg-1ubuntu1
gdb 7.7.1-0ubuntu5~14.04.2
gdb-avr 7.6-1
gdb-mingw-w64 7.6~20130417-0ubuntu1+7
gdb-mingw-w64-target 7.6~20130417-0ubuntu1+7
gdb-minimal 7.7.1-0ubuntu5~14.04.2
gdb-msp430 7.2a~mspgcc-20111205-2
gdb-multiarch 7.7.1-0ubuntu5~14.04.2
gdb-source 7.7.1-0ubuntu5~14.04.2
gdb64 7.7.1-0ubuntu5~14.04.2
gdbserver 7.7.1-0ubuntu5~14.04.2
gdc 4.8.2-1ubuntu6
gdc 4.8.2-1ubuntu6
gdc-4.4 4.8.2-1ubuntu6
gdc-4.6 4.8.2-1ubuntu6
gdc-v1 4.8.2-1ubuntu6
geany 1.23.1+dfsg-1
geany-common 1.23.1+dfsg-1
geany-plugin-addons 1.23+dfsg-3
geany-plugin-codenav 1.23+dfsg-3
geany-plugin-debugger 1.23+dfsg-3
geany-plugin-doc 1.23+dfsg-3
geany-plugin-extrasel 1.23+dfsg-3
geany-plugin-gdb 1.23+dfsg-3
geany-plugin-gendoc 1.23+dfsg-3
geany-plugin-gproject 1.23+dfsg-3
geany-plugin-insertnum 1.23+dfsg-3
geany-plugin-latex 1.23+dfsg-3
geany-plugin-lipsum 1.23+dfsg-3
geany-plugin-lua 1.23+dfsg-3
geany-plugin-macro 1.23+dfsg-3
geany-plugin-numberedbookmarks 1.23+dfsg-3
geany-plugin-pg 1.23+dfsg-3
geany-plugin-prettyprinter 1.23+dfsg-3
geany-plugin-prj 1.23+dfsg-3
geany-plugin-sendmail 1.23+dfsg-3
geany-plugin-shiftcolumn 1.23+dfsg-3
geany-plugin-spellcheck 1.23+dfsg-3
geany-plugin-tableconvert 1.23+dfsg-3
geany-plugin-treebrowser 1.23+dfsg-3
geany-plugin-updatechecker 1.23+dfsg-3
geany-plugin-vc 1.23+dfsg-3
geany-plugin-webhelper 1.23+dfsg-3
geany-plugin-xmlsnippets 1.23+dfsg-3
geany-plugins 1.23+dfsg-3
geany-plugins-common 1.23+dfsg-3
gedit-dev 3.10.4-0ubuntu4
gedit-valatoys-plugin 3.10.4-0ubuntu4
genbackupdata 1.6-1
gendarme 2.11+git20131009.5b1ef35-1build1
gengetopt 2.22.6-2
genius-dev 1.0.16-0ubuntu1
genparse 0.9.1-1ubuntu1
geoclue-examples 0.12.99-3ubuntu1
gettext 0.18.3.1-1ubuntu3
gettext-lint 0.4-2.1
gfortran 4:4.8.2-1ubuntu6
gfortran-4.4 4.4.7-8ubuntu1
gfortran-4.4-multilib 4.4.7-8ubuntu1
gfortran-4.4-spu 4.4.7-8ubuntu1
gfortran-4.6 4.6.4-6ubuntu2
gfortran-4.6-multilib 4.6.4-6ubuntu2
gfortran-4.6-spu 4.6.4-6ubuntu2
gfortran-4.7 4.7.3-12ubuntu1
gfortran-4.7-multilib 4.7.3-12ubuntu1
gfortran-4.7-spu 4.7.3-12ubuntu1
gfortran-mingw-w64 4.8.2-10ubuntu2+12
gfortran-mingw-w64-i686 4.8.2-10ubuntu2+12
gfortran-mingw-w64-x86-64 4.8.2-10ubuntu2+12
gfortran-multilib 4:4.8.2-1ubuntu6
gfortran-spu 4:4.8.2-1ubuntu6
ggcov 0.8.4-3ubuntu1
ginspector 0.8.4-3ubuntu1
giws 2.0.2-1
glabels-dev 3.0.1-4build1
glade 3.16.1-0ubuntu2
global 5.7.1-2
gnat 4.6ubuntu4
gnat-4.6 4.6.4-0ubuntu5
gnat-4.6-sjlj 4.6.4-0ubuntu5
gnat-gps 5.0-16
gnat-gps-common 5.0-16
gnat-mingw-w64 4.8.2-12ubuntu2+12.1
gnat-mingw-w64-i686 4.8.2-12ubuntu2+12.1
