openoffice.org-l10n-ko 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ku 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-lt 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-lv 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-mk 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ml 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-mn 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-mr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-nb 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ne 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-nl 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-nn 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-nr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ns 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-oc 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-om 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-or 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-pa-in 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-pl 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-pt 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-pt-br 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ro 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ru 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-rw 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-si 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-sk 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-sl 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-sr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ss 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-st 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-sv 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ta 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-te 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-tg 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-th 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-tn 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-tr 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ts 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-ug 1:0.2+svn20100315.r1208-2
openoffice.org-l10n-uk 1:0.2+svn20100315.r1208-2
