a2ps 1:4.14-1.3
groff-base 1.22.2-5
gv 1:3.7.4-1
halibut 1.0+svn20090906-8
hannah-foo2zjs 1:2
hlins 0.39-20build1
hspell 1.2-2
hspell-gui 0.2.6-5.1
html-xml-utils 6.5-1
html2ps 1.0b7-1
hunspell 1.3.2-6ubuntu2
hunspell-an 0.2-1
hunspell-ar 3.2-1
hunspell-be 0.53-3
hunspell-da 1:4.2.1-0ubuntu1.1
hunspell-de-at 20120607-1
hunspell-de-at-frami 1:4.2.1-0ubuntu1.1
hunspell-de-ch 20120607-1
hunspell-de-ch-frami 1:4.2.1-0ubuntu1.1
hunspell-de-de 20120607-1
hunspell-de-de-frami 1:4.2.1-0ubuntu1.1
hunspell-de-med 20110608-1
hunspell-en-ca 1:4.2.1-0ubuntu1.1
hunspell-en-us 20070829-4ubuntu3
hunspell-eu-es 0.4.20081029-6
hunspell-fr 1:5.0.2-1
hunspell-gl-es 2.2a-10
hunspell-hu 1:4.2.1-0ubuntu1.1
hunspell-kk 1.1-2
hunspell-ko 0.5.6-1
hunspell-ml 0.1-2
hunspell-ne 1:4.2.1-0ubuntu1.1
hunspell-ro 1:4.2.1-0ubuntu1.1
hunspell-ru 20120501-1
hunspell-ru 20120501-1
hunspell-se 1.0~beta6.20081222-1.2
hunspell-sh 1:3.3.0-2ubuntu3
hunspell-sr 1:4.2.1-0ubuntu1.1
hunspell-sv-se 1:4.2.1-0ubuntu1.1
hunspell-tools 1.3.2-6ubuntu2
hunspell-uz 0.6-3.2ubuntu1
hunspell-vi 1:4.2.1-0ubuntu1.1
hyphen-af 1:4.2.1-0ubuntu1.1
hyphen-as 0.7.0-1
hyphen-bn 0.7.0-2
hyphen-ca 1:4.2.1-0ubuntu1.1
hyphen-de 1:4.2.1-0ubuntu1.1
hyphen-en-us 2.8.6-3ubuntu2
hyphen-fr 1:4.2.1-0ubuntu1.1
hyphen-gu 0.7.0-2
hyphen-hi 0.7.0-3
hyphen-hr 20060617-2.4
hyphen-hu 1:4.2.1-0ubuntu1.1
hyphen-it 1:4.2.1-0ubuntu1.1
hyphen-kn 0.7.0-2
hyphen-mr 0.7.0-1
hyphen-pa 0.7.0-1
hyphen-pl 1:3.0a-4
hyphen-ro 1:4.2.1-0ubuntu1.1
hyphen-sh 1:3.3.0-2ubuntu3
hyphen-sl 1:4.2.1-0ubuntu1.1
hyphen-sr 1:4.2.1-0ubuntu1.1
hyphen-ta 0.7.0-1
hyphen-te 0.7.0-1
hyphen-zu 1:4.2.1-0ubuntu1.1
iamerican 3.3.02-6
iamerican-huge 3.3.02-6
iamerican-insane 3.3.02-6
iamerican-large 3.3.02-6
iamerican-small 3.3.02-6
ibrazilian 3.0~beta4-15
ibritish 3.3.02-6
ibritish-huge 3.3.02-6
ibritish-insane 3.3.02-6
ibritish-large 3.3.02-6
ibritish-small 3.3.02-6
ibulgarian 4.1-3ubuntu1
icatalan 0.20111230b-4
iczech 20040229-5.1
idanish 1.6.25-1.1
idutch 1:2.10-1
idzebra-2.0 2.0.44-3.1
idzebra-2.0-common 2.0.44-3.1
idzebra-2.0-examples 2.0.44-3.1
idzebra-2.0-utils 2.0.44-3.1
ienglish-common 3.3.02-6
iesperanto 2.1.2000.02.25-45
iestonian 1:20030606-20
ifaroese 0.4.2-1
ifinnish 0.4.2-1
ifinnish-large 0.4.2-1
ifinnish-small 0.4.2-1
ifrench 1.4-26
ifrench-gut 1:1.0-30
igaelic 0.50-10
igalician-minimos 0.5-35
ihungarian 1.6.1-1
iirish 2.0-22
iitalian 1:2.3-3
ijsgutenprint 5.2.10~pre2-0ubuntu2
ilithuanian 1.2.1-4
imanx 0.50-11
imediff2 1.1.2-1.1
impose+ 0.2-12
ingerman 20120607-1
inorwegian 2.0.10-5.1
iogerman 1:2-28
ipolish 20130519-1
iportuguese 20140102-1
irussian 0.99g5-18
ispanish 1.11-4
ispell 3.3.02-6
iswedish 1.4.5-2.1
iswiss 20120607-1
itagalog 0.3.1-3
itstool 2.0.2-2
iukrainian 1.6.5-2
jade 1.2.1-47.3ubuntu1
jing 20131210+dfsg+1-1
jless 382-iso262-3
kakasi 2.3.6-0ubuntu1
kakasi-dic 2.3.6-0ubuntu1
kanatest 0.4.8-3
kanjidic 2012.05.09-1
kanjidic-xml 2012.05.09-1
katoob 0.5.9.1-4.1
kcc 2.3-12
khmerconverter 1.4-1
kindleclip 0.5-1
konwert 1.8-11.2build2
konwert-dev 1.8-11.2build2
konwert-filters 1.8-11.2build2
kthesaurus 1.8-11.2build2
kwalify 0.7.2-2
lcdf-typetools 2.92+dfsg1-0.1
ldapvi 1.7-9
ldp-docbook-dsssl 0.0.20040321-2build1
ldp-docbook-xsl 0.0.20040321-2build1
le-dico-de-rene-cougnenc 1.3-2.1
less 458-2
libaa-bin 1.4p5-41
libexttextcat-data 3.4.3-1ubuntu1
liblouis-bin 2.5.3-2ubuntu1
liblouis-data 2.5.3-2ubuntu1
liblouisutdml-bin 2.4.0-1
liblouisutdml-data 2.4.0-1
liblouisxml-bin 2.4.0-5
liblouisxml-data 2.4.0-5
libreoffice-lightproof-en 0.4.3+1.5+git20121204-4
libreoffice-lightproof-hu 1.4.4+1.5+git20121204-4
libreoffice-lightproof-ru-ru 0.3.2+1.5+git20121204-4
libreoffice-voikko 4.0-1
libreoffice-writer2latex 1.0.2-10ubuntu1
libreoffice-writer2xhtml 1.0.2-10ubuntu1
libreoffice-zemberek 1.0~rc2-10.4
libstemmer-tools 0+svn546-2
