0ad 0.0.16-2~ubuntu14.04.1
fretsonfire 1.3.110.dfsg-3
fretsonfire-game 1.3.110.dfsg-3
fretsonfire-songs-muldjord 2.dfsg-1
fretsonfire-songs-sectoid 1.dfsg-2
frobtads 1:1.2.3-1
frogatto 1.3.1+dfsg-2build2
frogatto-data 1.3.1+dfsg-1
frotz 2.43-4
frozen-bubble 2.212-3ubuntu3
frozen-bubble-data 2.212-3ubuntu3
fruit 2.1.dfsg-6
funnyboat 1.5-9
gamazons 0.83-5
game-data-packager 37
gameclock 5.0
gamine 1.1-3
gamine-data 1.1-3
garden-of-coloured-lights 1.0.8-2
garden-of-coloured-lights-data 1.0.8-2
gargoyle-free 2011.1a-2
gav 0.9.0-3
gav-themes 0.7.3-2
gbatnav 1.0.4cvs20051004-5
gbrainy 1:2.2.2-1build2
gcompris 13.11-1
gcompris-data 13.11-1
gcompris-sound-af 13.11-1
gcompris-sound-ar 13.11-1
gcompris-sound-ast 13.11-1
gcompris-sound-bg 13.11-1
gcompris-sound-br 13.11-1
gcompris-sound-cs 13.11-1
gcompris-sound-da 13.11-1
gcompris-sound-de 13.11-1
gcompris-sound-el 13.11-1
gcompris-sound-en 13.11-1
gcompris-sound-eo 13.11-1
gcompris-sound-es 13.11-1
gcompris-sound-eu 13.11-1
gcompris-sound-fi 13.11-1
gcompris-sound-fr 13.11-1
gcompris-sound-he 13.11-1
gcompris-sound-hi 13.11-1
gcompris-sound-hu 13.11-1
gcompris-sound-id 13.11-1
gcompris-sound-it 13.11-1
gcompris-sound-mr 13.11-1
gcompris-sound-nb 13.11-1
gcompris-sound-nl 13.11-1
gcompris-sound-nn 13.11-1
gcompris-sound-pa 13.11-1
gcompris-sound-pt 13.11-1
gcompris-sound-ptbr 13.11-1
gcompris-sound-ru 13.11-1
gcompris-sound-sl 13.11-1
gcompris-sound-so 13.11-1
gcompris-sound-sr 13.11-1
gcompris-sound-sv 13.11-1
gcompris-sound-th 13.11-1
gcompris-sound-tr 13.11-1
gcompris-sound-ur 13.11-1
gcompris-sound-zhcn 13.11-1
gearhead 1.100-2ubuntu1
gearhead-data 1.100-2ubuntu1
gearhead2 0.628-1ubuntu1
gearhead2-data 0.628-1ubuntu1
geekcode 1.7.3-5
geki2 2.0.3-8
geki3 1.0.3-7
gemdropx 0.9-6
gfpoken 0.32-2ubuntu1
ghextris 0.9.0-3
gl-117 1.3.2-2.1ubuntu1
gl-117-data 1.3.2-2.1ubuntu1
glaurung 2.2-2ubuntu1
glchess 1:3.8.3-1
glhack 1.2-2
glines 1:3.8.2-1
glob2 0.9.4.4-2.2build1
glob2-data 0.9.4.4-2.2build1
glpeces 5.0-2
glpeces-data 5.0-2
gltron 0.70final-12ubuntu1
gmchess 0.29.6-2ubuntu1
gmult 8.0-2
gnect 1:3.8.1-1
gnibbles 1:3.8.0-2
gnobots2 1:3.8.1-2
gnome-breakout 0.5.3-5
gnome-hearts 0.3-2.1ubuntu1
gnome-mastermind 0.3.1-2
gnome-sudoku 1:3.10.2-0ubuntu3.1
gnomine 1:3.10.1-0ubuntu1
gnotravex 1:3.8.1-1
gnotski 1:3.8.2-1
gnubg 1.02.000-2
gnubg-data 1.02.000-2
gnubik 2.4-3
gnuboy-sdl 1.0.3-7
gnuboy-svga 1.0.3-7
gnuboy-x 1.0.3-7
gnuchess 6.1.1-1
gnuchess-book 1.02-1
gnudoq 0.94-2.1
gnugo 3.8-7
gnujump 1.0.8-1
gnujump-data 1.0.8-1
gnuminishogi 1.4.1-2
gnurobbo 0.66+dfsg-3
gnurobots 2:1.2.0-6
gnushogi 1.4.1-2
golly 2.5-1.1
gpe-go 2.5-1.1
gpe-lights 2.5-1.1
gpe-othello 2.5-1.1
gplanarity 17906-5
granatier 4:4.13.3-0ubuntu0.1
granule 1.4.0-7-2
gravitation 3+dfsg1-4
gravitywars 1.102-32ubuntu1
greed 3.8-1
grhino 0.16.1-3
grhino-data 0.16.1-3
groundhog 1.4-9
gsalliere 0.10-1
gsoko 0.10-1
gtali 1:3.10.2-1
gtans 1.99.0-2
gtkatlantic 0.4.4-1
gtkballs 3.1.5-10
gtkboard 0.11pre0+cvs.2003.11.02-7
gtkpool 0.5.0-9
gunroar 0.15.dfsg1-7
gunroar-data 0.15.dfsg1-7
gvrng 4.4-1
gweled 0.9.1-3
hannah 1.0-2
hannah-data 1.0-2
hearse 1.5-8.1
hedgewars 0.9.21.1-4~ubuntu14.04.1
hedgewars-data 0.9.21.1-4~ubuntu14.04.1
heroes-common 0.21-9ubuntu1
heroes-data 1.5-2
heroes-sdl 0.21-9ubuntu1
heroes-sound-effects 1.0-4
heroes-sound-tracks 1.0-4
hex-a-hop 0.0.20070315-8
hexalate 1.0.2-1
hexxagon 1.0pl1-3.1
hitori 0.4.0-1
hoichess 0.10.3-6.1
holdingnuts 0.0.5-4
holdingnuts-server 0.0.5-4
holotz-castle 1.3.14-6
holotz-castle-data 1.3.14-6
holotz-castle-editor 1.3.14-6
iagno 1:3.8.2-1
icebreaker 1.21-11ubuntu1
ii-esu 1.0a.dfsg1-6
infon-devel 0~r218-2
infon-server 0~r198-8
infon-viewer 0~r198-8
instead 1.9.1-1
instead-data 1.9.1-1
ioquake3 1.36+u20140116+gdde36d9-1
ioquake3-server 1.36+u20140116+gdde36d9-1
jester 1.0-11
jigzo 0.6.1-6
jigzo-data 0.6.1-6
jmdlx 0.4-6.2build1
jumpnbump 1.50+dfsg1-3ubuntu1
jumpnbump-levels 20091107
junior-toys 1.21
jzip 210r20001005d-3
kajongg 4:4.13.2-0ubuntu0.2
kanagram 4:4.13.3-0ubuntu0.1
kapman 4:4.13.0-0ubuntu1
katomic 4:4.13.0-0ubuntu1
kawari8 8.2.8-8
kball 0.0.20041216-8ubuntu1
kball-data 0.0.20041216-8ubuntu1
kbattleship 4:4.13.3-0ubuntu0.1
kblackbox 4:4.13.0-0ubuntu1
kblocks 4:4.13.1-0ubuntu0.1
kbounce 4:4.13.0-0ubuntu1
kbreakout 4:4.13.0-0ubuntu1
kcheckers 0.8.1-3
kdegames-card-data 4:4.13.1-0ubuntu0.1
kdegames-mahjongg-data 4:4.13.1-0ubuntu0.1
kdiamond 4:4.13.3-0ubuntu0.1
ketm 0.0.6-22
ketm-data 0.0.6-22
kfourinline 4:4.13.0-0ubuntu1
kgoldrunner 4:4.13.0-0ubuntu1
khangman 4:4.13.3-0ubuntu0.1
kigo 4:4.13.3-0ubuntu0.1
kiki-the-nano-bot 1.0.2+dfsg1-5
kiki-the-nano-bot-data 1.0.2+dfsg1-5
kildclient 2.11.1-1build2
killbots 4:4.13.0-0ubuntu1
kiriki 4:4.13.2-0ubuntu0.1
kjumpingcube 4:4.13.0-0ubuntu1
klickety 4:4.13.0-0ubuntu1
klines 4:4.13.0-0ubuntu1
kmahjongg 4:4.13.3-0ubuntu0.1
kmines 4:4.13.1-0ubuntu0.1
knetwalk 4:4.13.0-0ubuntu1
knights 2.5.0-1
kobodeluxe 0.5.1-6
kobodeluxe-data 0.5.1-6
kolf 4:4.13.1-0ubuntu0.1
kollision 4:4.13.0-0ubuntu1
komi 1.04-5
