abook 0.6.0~pre2-3
vacation 3.3.0-0.4ubuntu2
vm 8.1.2-2.1
vmm 0.6.1-1
vrfy 990522-9
watch-maildirs 1.2.0-2.1
wl 2.15.9+0.20120411-3
wl 2.15.9+0.20120411-3
wl-beta 2.15.9+0.20130701-4
xbuffy 3.3.bl.3.dfsg-8
xcite 1.60-2
xfaces 3.3-28
xlbiff 4.1-7
xmail 1.27-1.2
xul-ext-compactheader 1.27-1.2
xul-ext-dispmua 1.27-1.2
xul-ext-gcontactsync 1.27-1.2
xul-ext-imap-acl 1.27-1.2
xul-ext-nostalgy 1.27-1.2
xul-ext-quotecolors 1.27-1.2
yample 0.30-2
