0ad-dbg 0.0.16-2~ubuntu14.04.1
kdevelop-php-dbg 1.6.0-0ubuntu1
kdevplatform-dbg 1.6.0-0ubuntu1.1
kdewebdev-dbg 4:4.13.0-0ubuntu1
keyutils-dbg 1.5.6-1
kgpg-dbg 4:4.13.2-0ubuntu0.1
kiten-dbg 4:4.13.3-0ubuntu0.1
kmag-dbg 4:4.13.1-0ubuntu0.1
kmousetool-dbg 4:4.13.0-0ubuntu1
kmouth-dbg 4:4.13.0-0ubuntu1
kmymoney-dbg 4.6.4-1
konsole-dbg 4:4.13.3-0ubuntu0.1
konversation-dbg 1.5-1ubuntu1.14.04.1
kpart-webkit-dbg 1.3~git20120518.9a111005-3ubuntu1
kplayer-dbg 1.3~git20120518.9a111005-3ubuntu1
krecipes-dbg 2.0~beta2-3
kremotecontrol-dbg 4:4.13.3-0ubuntu0.1
krusader-dbg 1:2.4.0~beta3-2
ktorrent-dbg 4.3.1-2ubuntu1
kvirc-dbg 4:4.2.0-2build1
kvpm-dbg 0.8.6-3
kvpnc-dbg 0.9.6a-2.1
kwalletmanager-dbg 4:4.13.3-0ubuntu0.1
kwave-dbg 0.8.11-1-1
ladish-dbg 1+dfsg0-4
lcdproc-dbg 0.5.5-4
lcgdm-dbg 1.8.7-3
lesstif2-dbg 1.8.7-3
lib32gcc1-dbg 1.8.7-3
lib32gfortran3-dbg 1.8.7-3
lib32go0-dbg 1.8.7-3
lib32gomp1-dbg 1.8.7-3
lib32itm1-dbg 1.8.7-3
lib32mudflap0-dbg 1.8.7-3
lib32objc3-dbg 1.8.7-3
lib32objc4-dbg 1.8.7-3
lib32quadmath0-dbg 1.8.7-3
lib32stdc++6-4.4-dbg 1.8.7-3
lib32stdc++6-4.6-dbg 1.8.7-3
lib32stdc++6-4.7-dbg 1.8.7-3
lib64gcc1-dbg 1:4.9.1-0ubuntu1
lib64gfortran3-dbg 4.8.2-19ubuntu1
lib64go0-dbg 4.7.3-12ubuntu1
