0ad-dbg 0.0.16-2~ubuntu14.04.1
libxdg-basedir1-dbg 1.2.0-1
libxdmcp6-dbg 1:1.1.1-1
libxext6-dbg 2:1.3.2-1ubuntu0.0.14.04.1
libxfce4menu-0.1-dbg 2:1.3.2-1ubuntu0.0.14.04.1
libxfce4ui-1-dbg 4.11.1-2ubuntu1
libxfce4util4-dbg 4.11.1-2ubuntu1
libxfcegui4-4-dbg 4.10.0-2
libxfconf-0-2-dbg 4.10.0-2ubuntu1
libxfixes3-dbg 1:5.0.1-1ubuntu1.1
libxft2-dbg 2.3.1-2
libxi6-dbg 2:1.7.1.901-1ubuntu1.1
libxine1-dbg 1.1.21-2ubuntu1
libxine2-dbg 1.2.4-2ubuntu1
libxinerama1-dbg 2:1.1.3-1
libxkbfile1-dbg 1:1.0.8-1
libxml++2.6-dbg 2.36.0-2ubuntu1
libxml2-utils-dbg 2.9.1+dfsg1-3ubuntu4.4
libxmlada4.1-dbg 4.1-4
libxmlezout-dbg 1.06.1-5
libxmlrpc-epi0-dbg 0.54.2-1ubuntu1
libxmu6-dbg 2:1.1.1-1
libxmuu1-dbg 2:1.1.1-1
libxnee-dbg 3.13-1
libxp6-dbg 1:1.0.2-1ubuntu1
libxpm4-dbg 1:3.5.10-1
libxr1-dbg 1.0-2.1ubuntu1
libxrandr2-dbg 2:1.4.2-1
libxrender1-dbg 1:0.9.8-1build0.14.04.1
libxres1-dbg 2:1.0.7-1
libxsettings-client0-dbg 0.17-6ubuntu1
libxsettings0-dbg 0.11-3
libxslt1-dbg 1.1.28-2build1
libxss1-dbg 1:1.2.2-1
libxt6-dbg 1:1.1.4-1
libxtst6-dbg 2:1.2.2-1
libxv1-dbg 2:1.0.10-1
libxvmc1-dbg 2:1.0.8-1ubuntu1
libxxf86dga1-dbg 2:1.1.4-1
libxxf86vm1-dbg 1:1.1.3-1
libyajl2-dbg 2.0.4-4
libyaml-0-2-dbg 0.1.4-3ubuntu3.1
libzeitgeist-1.0-1-dbg 0.3.18-1ubuntu2
libzerg0-dbg 1.0.7-5
libzeroc-ice34-dbg 1.0.7-5
libzinnia0-dbg 0.06-2
libzmq-dbg 2.2.0+dfsg-5
libzorpll3.9-1-dbg 3.9.1.3-2
libzorpll3.9-1-memtrace 3.9.1.3-2
liferea-dbg 1.10.3-1ubuntu1
lightspark-dbg 0.7.2-3ubuntu1
link-monitor-applet-dbg 0.7.2-3ubuntu1
linphone-dbg 3.6.1-2.1build2
linux-image-3.2.0-4-686-pae-dbg 3.6.1-2.1build2
linux-image-3.2.0-4-amd64-dbg 3.6.1-2.1build2
linux-image-3.2.0-4-rt-686-pae-dbg 3.6.1-2.1build2
linux-image-3.2.0-4-rt-amd64-dbg 3.6.1-2.1build2
linux-image-3.2.0-4-s390x-dbg 3.6.1-2.1build2
lives-dbg 2.2.0~ds0-1
logfs-tools-dbg 20121013-2
love-dbg 0.8.0-6ubuntu2
lua-lgi-dbg 0.7.2-1
lunzip-dbg 1.2-2
lxappearance-dbg 0.5.5-1
lxappearance-obconf-dbg 0.2.1-1
lxc-dbg 1.0.7-0ubuntu0.1
lxinput-dbg 0.3.2-1
lxlauncher-dbg 0.2.2-4ubuntu1
lxpanel-dbg 0.6.1-0ubuntu3
lxpolkit-dbg 0.6.1-0ubuntu3
lxrandr-dbg 0.1.2-3
lxsession-dbg 0.4.9.2+git20140410-0ubuntu1.2
lxsession-edit-dbg 0.4.9.2+git20140410-0ubuntu1.2
lxshortcut-dbg 1.2.0-1ubuntu2
lxtask-dbg 0.1.4-3.1ubuntu1
lxterminal-dbg 0.1.11-4ubuntu3
lyx-dbg 2.0.6-1build1
lzip-dbg 1.14-2
lziprecover-dbg 1.13-4
mailutils-dbg 1:2.99.98-1.1
mana-dbg 0.6.1-4
marble-dbg 4:4.13.3-0ubuntu0.1
massxpert-dbg 3.4.1-1
mc-dbg 3:4.8.11-1
mdbtools-dbg 0.7.1-1ubuntu1
mediatomb-dbg 0.12.1-5ubuntu2
megaglest-dbg 3.7.1-3
midori-dbg 0.4.3+dfsg-0.1
minbif-dbg 1:1.0.5+git20120508-2.1
minetest-dbg 0.4.9+repack-4ubuntu1
mit-scheme-dbg 9.1.1-5
modemmanager-dbg 1.0.0-2ubuntu1
monkeystudio-dbg 1.9.0.4-1build1
mono-basic-dbg 3.0~pre20130627.4dcc70f-1
mono-runtime-dbg 3.2.8+dfsg-4ubuntu1.1
mp4v2-dbg 2.0.0~dfsg0-2
mpd-dbg 0.18.7-1
mpdscribble-dbg 0.22-4
mplayer2-dbg 2.0-701-gd4c5b7f-2ubuntu2
mrbayes-dbg 3.2.2+dfsg-1
msn-pecan-dbg 0.1.3-1
mudita24-dbg 1.0.3+svn13-4
multipath-tools-dbg 0.4.9-3ubuntu7.2
mumble-dbg 1.2.4-0.2ubuntu1.1
mupen64plus-audio-sdl-dbg 2.0-1build1
mupen64plus-input-sdl-dbg 2.0-3
mupen64plus-rsp-hle-dbg 2.0-1
mupen64plus-rsp-z64-dbg 2.0.0-1
mupen64plus-ui-console-dbg 2.0-1
mupen64plus-video-arachnoid-dbg 2.0.0-1
mupen64plus-video-glide64-dbg 2.0.0-1
mupen64plus-video-rice-dbg 2.0-2
mupen64plus-video-z64-dbg 2.0.0-1build1
muroard-dbg 0.1.14-1
mutt-dbg 1.5.21-6.4ubuntu2.1
mutter-dbg 3.10.4-0ubuntu2.1
myproxy-dbg 5.9-6
nagios3-dbg 3.5.1-1ubuntu1
nam-dbg 1.15-3
nautilus-dbg 1:3.10.1-0ubuntu9.7
nedit-dbg 1:5.6~cvs20081118-8
netcdf-dbg 1:4.1.3-7ubuntu2
netcdf-ruby1.8-dbg 1:4.1.3-7ubuntu2
netcdf-ruby1.9.1-dbg 1:4.1.3-7ubuntu2
netdiscover-dbg 0.3beta6+20080409-5.1
netpanzer-dbg 0.8.4.debian.1-1.1
nettle-dbg 2.7.1-1
network-manager-dbg 0.9.8.8-0ubuntu7
neverball-dbg 1.5.4-6
nfdump-dbg 1.6.8p1-1
nginx-extras-dbg 1.4.6-1ubuntu3.2
nginx-full-dbg 1.4.6-1ubuntu3.2
nginx-light-dbg 1.4.6-1ubuntu3.2
nginx-naxsi-dbg 1.4.6-1ubuntu3.2
nilfs-tools-dbg 2.1.5-1
ns2-dbg 2.35+dfsg-1ubuntu2
ntfs-3g-dbg 1:2013.1.13AR.1-2ubuntu2
ntop-dbg 3:5.0.1+dfsg1-2ubuntu1
oath-dbg 2.0.2-2ubuntu2
octave-dbg 3.8.1-1ubuntu1
odbc-postgresql-dbg 1:09.02.0100-2ubuntu1
ofono-dbg 1.12.bzr6858+14.04.20140318-0ubuntu1
oggvideotools-dbg 0.8a-1build1
okular-dbg 4:4.13.3-0ubuntu0.1
open-vm-tools-dbg 2:9.4.0-1280544-5ubuntu6.2
openafs-dbg 1.6.7-1ubuntu1
openais-dbg 1.6.7-1ubuntu1
openarena-dbg 0.8.8-9
opencryptoki-dbg 2.3.1+dfsg-3ubuntu5
opendnssec-dbg-mysql 1:1.4.3-3
opendnssec-dbg-sqlite3 1:1.4.3-3
openjdk-7-dbg 7u75-2.5.4-1~trusty1
openscad-dbg 2013.01+dfsg-2.2
openssn-dbg 1.4-1
openswan-dbg 1:2.6.38-1
openttd-dbg 1.3.3-1build1
openvpn-auth-radius-dbg 2.1-6
openvswitch-dbg 2.0.2-0ubuntu0.14.04.1
opus-tools-dbg 0.1.8-1
osmo-dbg 0.2.10+svn937-1
otcl-dbg 1.14+dfsg-3
owfs-dbg 2.8p15-1ubuntu4
packagekit-dbg 0.8.12-1ubuntu5
pam-pkcs11-dbg 0.6.8-4
pango-graphite-dbg 0.9.3-0.2ubuntu1
pcb2gcode-dbg 1.1.4-git20120902-1
pcmanfm-dbg 1.2.0-1
pcscada-dbg 0.7.1-4
pcsxr-dbg 1.9.92-4
pdfcube-dbg 0.0.5-2
pdfmod-dbg 0.9.1-7
pdlzip-dbg 1.3-4
pdns-recursor-dbg 3.5.3-1
pdns-server-dbg 3.3.1-4~ubuntu14.04.1
performous-dbg 0.7.0-3
perl-debug 5.18.2-2ubuntu1
petri-foo-dbg 0.1.87-2
pfqueue-dbg 0.5.6-8ubuntu1
pfstools-dbg 1.8.5-1ubuntu3
pgadmin3-dbg 1.18.1-2
phasex-dbg 0.14.97-2
phlipple-dbg 0.8.5-1build1
phonon-backend-gstreamer-dbg 4:4.7.80-0ubuntu2~ubuntu14.04
phonon-backend-vlc-dbg 0.7.80-0ubuntu1~ubuntu14.04
phonon-dbg 4:4.7.80-0ubuntu1~ubuntu14.04
pianobooster-dbg 0.6.4b-2
pidgin-dbg 1:2.10.9-0ubuntu3.2
pidgin-microblog-dbg 0.3.0-3
pidgin-mra-dbg 20100304-1
pidgin-nateon-dbg 0.0.0.svn147-1
pidgin-skype-dbg 20130613+svn660+dfsg-1
planetpenguin-racer-dbg 0.4-5ubuntu1
plasma-widget-networkmanagement-dbg 0.4-5ubuntu1
plasma-widget-telepathy-presence-dbg 0.4-5ubuntu1
plasma-widget-yawp-dbg 0.4.2-1
plzip-dbg 0.9-4
poedit-dbg 1.5.4-1build1
poppler-dbg 0.24.5-2ubuntu4.2
postgresql-9.1-dbg 0.24.5-2ubuntu4.2
pp-popularity-contest-dbg 1.0.6-1ubuntu1
presage-dbg 0.8.8-1ubuntu3
profnet-dbg 1.0.22-1
projectm-dbg 2.1.0+dfsg-1build2
psi-plus-dbg 0.16.268-1
psi-plus-plugins-dbg 0.16.268-1
psi-plus-webkit-dbg 0.16.268-1
pslib1-dbg 0.4.5-3
psychtoolbox-3-dbg 3.0.11.20131230.dfsg1-1build1
pth-dbg 2.0.7-19ubuntu1
ptscotch-dbg 5.1.12b.dfsg-2build1
pulseaudio-dbg 1:4.0-0ubuntu11.1
pulseaudio-esound-compat-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-bluetooth-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-gconf-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-jack-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-lirc-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-raop-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-x11-dbg 1:4.0-0ubuntu11.1
pulseaudio-module-zeroconf-dbg 1:4.0-0ubuntu11.1
pulseaudio-utils-dbg 1:4.0-0ubuntu11.1
python-all-dbg 2.7.5-5ubuntu3
python-apsw-dbg 3.8.2-r1-1ubuntu1
python-apt-dbg 0.9.3.5ubuntu1
python-bsddb3-dbg 6.0.1-1build1
python-bzrlib-dbg 2.6.0+bzr6593-1ubuntu1.1
python-cairo-dbg 1.8.8-1ubuntu5
python-cjson-dbg 1.0.5-4build1
python-cogent-dbg 1.5.3-2
python-coverage-dbg 3.7.1+dfsg.1-1ubuntu2
python-crypto-dbg 2.6.1-4build1
python-dbg 2.7.5-5ubuntu3
python-dbus-dbg 1.2.0-2build2
python-djvu-dbg 0.3.9-1
python-dmidecode-dbg 3.10.13-3
python-drizzle-dbg 3.10.13-3
python-dulwich-dbg 0.9.4-1
python-egenix-mx-base-dbg 3.2.7-1build1
python-epr-dbg 0.8.1-1build2
python-fltk-dbg 1.3.0-1
python-gamera-dbg 3.3.3-2ubuntu1
python-gammu-dbg 1.33.0-3
python-gd-dbg 0.56+dfsg-4build1
python-gdbm-dbg 2.7.5-1ubuntu1
python-gdbm-dbg 2.7.5-1ubuntu1
python-geohash-dbg 0.8.3-1
python-gevent-dbg 1.0-1ubuntu1
python-gi-dbg 3.12.0-1ubuntu1
python-gobject-2-dbg 2.28.6-12build1
python-gobject-dbg 3.12.0-1ubuntu1
python-gpgme-dbg 0.3-0ubuntu3
python-greenlet-dbg 0.4.2-1build1
python-gst0.10-dbg 0.10.22-3ubuntu2
python-gtk2-dbg 2.24.0-3ubuntu3
python-imaging-dbg 2.3.0-1ubuntu3
python-imaging-sane-dbg 2.3.0-1ubuntu3
python-imaging-tk-dbg 2.3.0-1ubuntu3
python-jinja2-dbg 2.3.0-1ubuntu3
python-kde4-dbg 4:4.13.3-0ubuntu0.1
python-kinterbasdb-dbg 3.3.0-3
python-ldap-dbg 2.4.10-1build1
python-ldb-dbg 1:1.1.16-1
python-levenshtein-dbg 0.11.2-1build1
python-libtorrent-dbg 0.16.13-1ubuntu2.1
python-libxml2-dbg 2.9.1+dfsg1-3ubuntu4.4
python-libxslt1-dbg 1.1.28-2build1
python-llfuse-dbg 0.40-2build2
python-llvm-dbg 0.40-2build2
python-lucene-dbg 3.5.0-1.2
python-lxml-dbg 3.3.3-1ubuntu0.1
python-lzma-dbg 0.5.3-2build1
python-markupsafe-dbg 0.18-1build2
python-matplotlib-dbg 1.3.1-1ubuntu5
python-meliae-dbg 0.4.0-1build1
python-mhash-dbg 1.4-1build1
python-mpi4py-dbg 1.3.1+hg20131106-1build3
python-mysqldb-dbg 1.2.3-2ubuntu1
python-netifaces-dbg 0.8-3build1
python-newt-dbg 0.52.15-2ubuntu5
python-numexpr-dbg 2.2.2-4build1
python-numpy-dbg 1:1.8.2-0ubuntu0.1
python-ogg-dbg 1.3+repack-5ubuntu2
python-omniorb-dbg 3.6-1
python-openssl-dbg 0.13-2ubuntu6
python-otr-dbg 0.13-2ubuntu6
python-parted-dbg 3.6-6
python-pebl-dbg 1.0.2-2build1
python-pisock-dbg 0.12.5-6ubuntu2
python-poppler-dbg 0.12.1-8.1
python-presage-dbg 0.8.8-1ubuntu3
python-psycopg2-dbg 2.4.5-1build5
python-pyamf-dbg 2.4.5-1build5
python-pyao-dbg 0.82-5build1
python-pycryptopp-dbg 0.6.0.20120313-1
python-pycurl-dbg 7.19.3-0ubuntu3
python-pyfann-dbg 2.1.0~beta~dfsg-8ubuntu1
python-pyfribidi-dbg 0.11.0+repack-1
python-pygraphviz-dbg 1.2-1
python-pygresql-dbg 1:4.0-3build3
python-pyicu-dbg 1.5-2ubuntu4
python-pylibacl-dbg 0.5.1-1.1build4
python-pylibmc-dbg 1.2.3-1
python-pyodbc-dbg 3.0.6-2
python-pysqlite1.1-dbg 3.0.6-2
python-pysqlite2-dbg 2.6.3-3
python-pytc-dbg 0.8-2
python-pyvorbis-dbg 1.5-2ubuntu2
python-pyxattr-dbg 0.5.1-1.1build4
python-pyxine-dbg 0.1alpha2-8
python-qt4-dbg 4.10.4+dfsg-1ubuntu1
python-qt4-dbus-dbg 4.10.4+dfsg-1ubuntu1
python-qt4-gl-dbg 4.10.4+dfsg-1ubuntu1
python-qt4-phonon-dbg 4.10.4+dfsg-1ubuntu1
python-qt4-sql-dbg 4.10.4+dfsg-1ubuntu1
python-regex-dbg 0.1.20140216-1
python-renderpm-dbg 3.0-1build1
python-reportlab-accel-dbg 3.0-1build1
python-scipy-dbg 0.13.3-1build1
python-sendfile-dbg 2.0.0-6ubuntu1
python-setproctitle-dbg 1.0.1-1ubuntu1
python-sip-dbg 4.15.5-1build1
python-soya-dbg 0.15~rc1-10
python-sqlite-dbg 1.0.1-11
python-stemmer-dbg 1.3.0+dfsg-1build2
python-storm-dbg 0.19-1
python-subvertpy-dbg 0.9.1-2
python-svn-dbg 1.7.8-0.2
python-symeig-dbg 1.5-2
python-tables-dbg 3.1.1-0ubuntu1
python-talloc-dbg 2.1.0-1
python-tdb-dbg 1.2.12-1
python-tk-dbg 2.7.5-1ubuntu1
python-tk-dbg 2.7.5-1ubuntu1
python-twisted-bin-dbg 13.2.0-1ubuntu1
python-twisted-runner-dbg 13.2.0-1ubuntu1
python-uniconvertor-dbg 1.1.4-1ubuntu2
python-wxgtk2.8-dbg 2.8.12.1+dfsg-2ubuntu2
python-yaml-dbg 3.10-4ubuntu0.1
python-zmq-dbg 14.0.1-1build2
python-zope.interface-dbg 4.0.5-1ubuntu4
python2.6-dbg 4.0.5-1ubuntu4
python2.7-dbg 2.7.6-8
python3-all-dbg 3.4.0-0ubuntu2
python3-apt-dbg 0.9.3.5ubuntu1
python3-bsddb3-dbg 6.0.1-1build1
python3-crypto-dbg 2.6.1-4build1
python3-dbg 3.4.0-0ubuntu2
python3-dbus-dbg 1.2.0-2build2
python3-dbus.mainloop.qt-dbg 4.10.4+dfsg-1ubuntu1
python3-drizzle-dbg 4.10.4+dfsg-1ubuntu1
python3-epr-dbg 0.8.1-1build2
python3-gdbm-dbg 3.4.0-0ubuntu1
python3-gi-dbg 3.12.0-1ubuntu1
python3-jinja2-dbg 3.12.0-1ubuntu1
python3-llfuse-dbg 0.40-2build2
python3-lxml-dbg 3.3.3-1ubuntu0.1
python3-markupsafe-dbg 0.18-1build2
python3-mpi4py-dbg 1.3.1+hg20131106-1build3
python3-numpy-dbg 1:1.8.2-0ubuntu0.1
python3-openssl-dbg 0.13-2ubuntu6
python3-psycopg2-dbg 2.4.5-1build5
python3-pykde4-dbg 4:4.13.3-0ubuntu0.1
python3-pylibacl-dbg 0.5.1-1.1build4
python3-pyqt4-dbg 4.10.4+dfsg-1ubuntu1
python3-pyqt4.phonon-dbg 4.10.4+dfsg-1ubuntu1
python3-pyqt4.qtopengl-dbg 4.10.4+dfsg-1ubuntu1
python3-pyqt4.qtsql-dbg 4.10.4+dfsg-1ubuntu1
python3-pyxattr-dbg 0.5.1-1.1build4
python3-regex-dbg 0.1.20140216-1
python3-scipy-dbg 0.13.3-1build1
python3-sip-dbg 4.15.5-1build1
python3-stemmer-dbg 1.3.0+dfsg-1build2
python3-tk-dbg 3.4.0-0ubuntu1
python3-yaml-dbg 3.10-4ubuntu0.1
python3-zmq-dbg 14.0.1-1build2
python3-zope.interface-dbg 4.0.5-1ubuntu4
python3.2-dbg 4.0.5-1ubuntu4
qapt-dbg 2.1.70-0ubuntu4.2
qbittorrent-dbg 3.1.8-2
qemu-kvm-dbg 3.1.8-2
qmf-dbg 1.0.7~2011w23.2-2.1
qmidiarp-dbg 0.6.0-1
qmidinet-dbg 0.1.2-1
qt4-bin-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-demos-dbg 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qtcreator-dbg 3.0.1-0ubuntu4
qtgstreamer-dbg 0.10.2-2ubuntu2
qtmobility-dbg 1.2.0-3ubuntu5
qtractor-dbg 1.2.0-3ubuntu5
quagga-dbg 0.99.22.4-3ubuntu1
quakespasm-dbg 0.85.9-1
qutecom-dbg 2.2.1+dfsg1-4ubuntu2
r-base-core-dbg 3.0.2-1ubuntu1
raincat-dbg 1.1.1.2-1
rasterlite-dbg 1.1g-3
rawstudio-dbg 2.0-2
redeclipse-dbg 1.4-5
redeclipse-server-dbg 1.4-5
rekonq-dbg 2.4.2-0ubuntu1
rhythmbox-dbg 3.0.2-0ubuntu2
roaraudio-dbg 1.0~beta11-1
roarplaylistd-dbg 0.1.9-1
rosegarden-dbg 1:13.06-1
rrdcollect-dbg 0.2.10-2
rrdtool-dbg 1.4.7-2ubuntu5
ruby-atk-dbg 2.1.0-1
ruby-fftw3-dbg 0.4-6
ruby-gdk-pixbuf2-dbg 2.1.0-1
ruby-gio2-dbg 2.1.0-1
ruby-glib2-dbg 2.1.0-1
ruby-goocanvas-dbg 2.1.0-1
ruby-grib-dbg 0.2.2-3build1
ruby-gsl-dbg 1.15.3+dfsg-1
ruby-gstreamer-dbg 2.1.0-1
ruby-gtk2-dbg 2.1.0-1
ruby-gtksourceview2-dbg 2.1.0-1
ruby-kde4-dbg 4:4.13.0-0ubuntu1
ruby-lapack-dbg 1.5-2
ruby-multibitnums-dbg 0.1.4-2
ruby-narray-dbg 0.6.0.1-4
ruby-netcdf-dbg 0.6.6-2
ruby-odbc-dbg 0.99995-1
ruby-pango-dbg 2.1.0-1
ruby-pgplot-dbg 0.1.3-8
ruby-poppler-dbg 2.1.0-1
ruby-qt4-dbg 4:4.13.0-0ubuntu1
ruby-rsvg2-dbg 2.1.0-1
ruby-sdl-dbg 2.1.2-4
ruby-vte-dbg 2.1.0-1
rygel-dbg 0.20.3-1ubuntu2
s3d-dbg 0.2.2-9
s3ql-dbg 1.16-1
sauerbraten-dbg 0.0.20130203.dfsg-1
sawfish-dbg 1:1.5.3-2.4
sbnc-dbg 1.3.9-3
schroot-dbg 1.6.8-1ubuntu1
scilab-full-bin-dbg 5.5.0-2
scilab-minimal-bin-dbg 5.5.0-2
scorched3d-dbg 43.3.d+dfsg-1
scotch-dbg 5.1.12b.dfsg-2build1
sdlbasic-dbg 0.0.20070714-5
serd-dbg 0.18.2~dfsg0-2
shiboken-dbg 1.2.1-3build1
shishi-dbg 1.0.2-3ubuntu2
shotwell-dbg 0.18.0-0ubuntu4.3
showq-dbg 0.4.1+git20090622+dfsg0-1
skanlite-dbg 1.1-0ubuntu1
smokegen-dbg 4:4.13.0-0ubuntu1
softhsm-dbg 1.3.5-1ubuntu3
sogo-dbg 2.1.1b-1
sord-dbg 0.12.0~dfsg0-3
soundstretch-dbg 1.7.1-5
speech-dispatcher-dbg 0.8-5ubuntu1
spring-dbg 96.0+dfsg-1
springlobby-dbg 0.169-1build1
squashfs-tools-dbg 1:4.2+20130409-2
squeak-plugins-scratch-dbg 1.4.0.2~svn.r83-2
squid3-dbg 3.3.8-1ubuntu6.2
sshfs-dbg 2.5-1ubuntu1
stimfit-dbg 0.13.13-1
stretchplayer-dbg 0.503-2
strigi-dbg 0.7.8-1ubuntu2
strongswan-dbg 5.1.2-0ubuntu2.2
structure-synth-dbg 1.5.0-2
suil-dbg 0.6.16~dfsg0-1
swami-dbg 2.0.0+svn389-2
swift-im-dbg 2.0+dev6-1
sylpheed-dbg 3.4.1-0ubuntu0.1
synapse-dbg 3.4.1-0ubuntu0.1
syncevolution-dbg 1.4-1ubuntu4
synfig-dbg 0.64.1-2
synfigstudio-dbg 0.64.1-1
syslog-ng-dbg 3.5.3-1
tack-dbg 1.07-1
tangerine-dbg 0.3.4-6
tango-accesscontrol-dbg 8.1.2c+dfsg-3ubuntu0.1
tango-db-dbg 8.1.2c+dfsg-3ubuntu0.1
tango-starter-dbg 8.1.2c+dfsg-3ubuntu0.1
tango-test-dbg 8.1.2c+dfsg-3ubuntu0.1
tarantool-client-dbg 1.5.1.218.g1a69fd6-1ubuntu1
tarantool-dbg 1.5.1.218.g1a69fd6-1ubuntu1
tclcl-dbg 1.20-7
telepathy-gabble-dbg 0.18.3-0ubuntu0.1
telepathy-mission-control-5-dbg 1:5.16.1-1ubuntu3
testdisk-dbg 6.14-2
texstudio-dbg 2.6.6+debian-1
thunar-dbg 1.6.3-1ubuntu5
tint2-dbg 0.11+svn20121014-1
togl-demos 1.7-12ubuntu1
tokyotyrant-dbg 1.1.40-4.2
tora-dbg 2.1.3-2build2
totem-dbg 3.10.1-1ubuntu4
tpm-tools-dbg 1.3.8-1
trackballs-dbg 1.1.4-4.1
tracker-dbg 0.16.5-0ubuntu0.1
transcode-dbg 3:1.1.7-8
transmission-dbg 2.82-1.1ubuntu3.1
trophy-dbg 2.0.3-1
trousers-dbg 0.3.11.2-1
ttylog-dbg 0.25-1
tupi-dbg 0.2+git02-3build1
uae-dbg 0.2+git02-3build1
uim-dbg 1:1.8.6-4ubuntu1
unagi-dbg 0.3.4-1ubuntu1
uvcdynctrl-dbg 0.2.4-1
uwsgi-dbg 1.9.17.1-5build5
vala-gen-project-dbg 1.9.17.1-5build5
valac-0.14-dbg 0.14.2-2ubuntu2
valac-0.16-dbg 0.16.1-2ubuntu4
valgrind-dbg 1:3.10~20140411-0ubuntu1
varnish-dbg 3.0.5-2
vdr-dbg 2.0.3-1
veusz-helpers-dbg 1.15-1build3
vim-dbg 2:7.4.052-1ubuntu3
virtualbox-dbg 4.3.10-dfsg-1ubuntu3
vo-aacenc-dbg 0.1.3-1
vo-amrwbenc-dbg 0.1.3-1
voms-dbg 2.0.11-1
voms-mysql-plugin-dbg 3.1.6-1
vorbis-tools-dbg 1.4.0-1ubuntu3
warmux-dbg 1:11.04.1+repack-5
webcit-dbg 8.24-dfsg-1
webissues-dbg 1.1.1-1
weechat-dbg 0.4.2-3
wesnoth-1.10-dbg 1:1.10.7-1
widelands-dbg 1:18-2
winff-dbg 1.5.3-3
wireshark-dbg 1.10.6-1
witty-dbg 3.3.0-1build1
witty-dbg 3.3.0-1build1
wmaker-dbg 0.95.5-2ubuntu1
wraplinux-dbg 1.7-8
wxsqlite3-2.8-dbg 3.0.6.1~dfsg0-2
xcfa-dbg 4.3.6-1
xcp-xapi-debug 4.3.6-1
xfce4-dbg 4.10.1
xfce4-panel-dbg 4.11.0-0ubuntu1
xfce4-session-dbg 4.10.1-3ubuntu5
xfce4-terminal-dbg 0.6.3-1ubuntu1
xfdesktop4-dbg 4.11.8-0ubuntu0.1
xfwm4-dbg 4.11.1-2ubuntu2
xine-dbg 0.99.7-1
xiphos-dbg 3.1.5+dfsg-1build3
xmlcopyeditor-dbg 1.2.0.12-1
xneur-dbg 0.15.0-1.1
xserver-xorg-video-ati-dbg 1:7.3.0-1ubuntu3.1
xserver-xorg-video-geode-dbg 2.11.15-2
xserver-xorg-video-intel-dbg 2:2.99.910-0ubuntu1.4
xserver-xorg-video-ivtv-dbg 2:2.99.910-0ubuntu1.4
xserver-xorg-video-mach64-dbg 6.9.4-1build1
xserver-xorg-video-modesetting-dbg 0.8.1-1build1
xserver-xorg-video-msm-dbg 0.8.1-1build1
xserver-xorg-video-nouveau-dbg 1:1.0.10-1ubuntu2
xserver-xorg-video-openchrome-dbg 1:0.3.3-1build1
xserver-xorg-video-qxl-dbg 0.1.1-0ubuntu3
xserver-xorg-video-r128-dbg 6.9.2-1build1
xserver-xorg-video-radeon-dbg 1:7.3.0-1ubuntu3.1
xulrunner-17.0-dbg 1:7.3.0-1ubuntu3.1
xulrunner-24.0-dbg 1:7.3.0-1ubuntu3.1
yauap-dbg 0.2.4-3
yorick-dbg 2.2.02+dfsg-6ubuntu2
yoshimi-dbg 1.1.0-2
zapping-dbg 0.10~cvs6-9
zaz-dbg 1.0.0~dfsg1-2
zbar-dbg 0.10+doc-9build1
zita-resampler-dbg 1.3.0-2
zlib1g-dbg 1:1.2.8.dfsg-1ubuntu1
znc-dbg 1.2-3build1
zorp-dbg 3.9.5-4
zorp-modules-dbg 3.9.5-4
zsh-dbg 5.0.5-4ubuntu1~ubuntu14.04.1
zutils-dbg 0.9-7
