a2jmidid 8~dfsg0-1
gstreamer0.10-buzztard 0.6.0-1ubuntu1
gstreamer0.10-gconf 0.10.31-3+nmu1ubuntu5
gstreamer0.10-pulseaudio 0.10.31-3+nmu1ubuntu5
gtick 0.5.2-3
gtklick 0.6.4-4
gtkpod 2.1.4-1ubuntu2
gtkpod-data 2.1.4-1ubuntu2
guayadeque 0.3.5~ds0-4ubuntu1
guitarix 0.28.2-4
gwc 0.21.19~dfsg0-3
gxmms2 0.7.1-3
gxtuner 2.1-1
hexter 1.0.2-3
horgand 1.14-5
horgand-data 1.14-5
hts-voice-nitech-jp-atr503-m001 1.05-1
htsengine 1.08-1
hydrogen 0.9.6~beta3-1
hydrogen-drumkits 0.9.3.20070703-3
icecast2 2.3.3-2ubuntu1
icedax 9:1.1.11-2ubuntu3
ices2 2.0.1-13.1
id3 0.15-4
id3ren 1.1b0-6
id3tool 1.2a-4
id3v2 0.1.12-2.1
idjc 0.8.9-1build1
ifp-line-libifp 1.0.0.2-5ubuntu1
ifpgui 1.0.0-3
intone 0.77+git20120308-1
invada-studio-plugins-ladspa 0.3.1-2
invada-studio-plugins-lv2 1.2.0+repack0-4
ir.lv2 1.3.2~dfsg0-1
iripdb 0.1.3b-1.1ubuntu1
jaaa 0.8.4-1
jack 3.1.1+cvs20050801-29
jack-capture 0.9.71-1
jack-keyboard 2.7.1-1
jack-mixer 9-3build1
jack-rack 1.4.8~rc1-2
jack-stdio 1.4-1
jack-tools 20101210-2.1
jackd 5
jackd1 1:0.121.3+20120418git75e3e20b-2.1ubuntu1
jackd1-firewire 1:0.121.3+20120418git75e3e20b-2.1ubuntu1
jackd2 1.9.9.5+20130622git7de15e7a-1ubuntu1
jackd2-firewire 1.9.9.5+20130622git7de15e7a-1ubuntu1
jackeq 0.5.9-2
jackmeter 0.4-1
jacktrip 1.0.5.patch2-1ubuntu1
jajuk 1:1.9.6-7
jalv 1.4.2~dfsg0-1
jamin 0.97.14~cvs~81203-4
japa 0.8.4-1
jcadencii 3.3.9+svn20110818.r1732-2
jconvolver 0.9.2-2
jconvolver-config-files 0.9.2-2
jkmeter 0.6.1-3
jmeters 0.4.1-3
jnoise 0.6.0-4
jnoisemeter 0.1.0-3
jokosher 0.1.0-3
jsymphonic 0.3.0.Ode.To.Freedom+svn387-8
juk 4:4.13.3-0ubuntu0.1
juke 0.7-4
klick 0.12.2-2
kluppe 0.6.14-2
kmetronome 0.10.1-1
kmidimon 0.7.5-1
kmix 4:4.13.3-0ubuntu0.1
kradio 4.0.7-2build1
kradio4 4.0.7-2build1
kscd 4:4.13.3-0ubuntu0.1
ladish 1+dfsg0-4
laditools 1.0.1-2
ladspa-sdk 1.13-2
lakai 0.1-1
lame 3.99.5+repack1-3ubuntu1
lastfm 1:1.5.4.27091+dfsg1-1ubuntu1
lastfmsubmitd 1:1.5.4.27091+dfsg1-1ubuntu1
lastmp 1:1.5.4.27091+dfsg1-1ubuntu1
ld10k1 1.0.27-2ubuntu3
libchromaprint-tools 1.1-1
libdca-utils 0.0.5-6ubuntu1
libflake-dev 0.11-2
libgsm-tools 1.0.13-4
libid3-tools 3.8.3-15
liblua5.1-luacsnd5.2 3.8.3-15
libqmmp-misc 0.7.4-1
libroar-plugins-universal 1.0~beta11-1
libsclang1 1.0~beta11-1
libsox-fmt-all 14.4.1-3ubuntu1
libsox-fmt-alsa 14.4.1-3ubuntu1
libsox-fmt-ao 14.4.1-3ubuntu1
libsox-fmt-base 14.4.1-3ubuntu1
libsox-fmt-mp3 14.4.1-3ubuntu1
