alice 0.19-1
libcache-fastmmap-perl 1.40-2build1
libcache-historical-perl 0.05-1
libcache-memcached-fast-perl 0.21-1build1
libcache-memcached-managed-perl 0.24-1
libcache-memcached-perl 1.30-1
libcache-mmap-perl 0.11-1build3
libcache-perl 2.09-1
libcache-ref-perl 0.04-1
libcache-simple-timedexpiry-perl 0.27-2
libcairo-gobject-perl 1.003-1
libcairo-perl 1.104-1
libcal-dav-perl 0.6-2
libcalendar-simple-perl 1.21-1
libcam-pdf-perl 1.60-1
libcaptcha-recaptcha-perl 0.97-1
libcapture-tiny-perl 0.24-1
libcarp-always-perl 0.12-1
libcarp-assert-more-perl 1.14-1
libcarp-assert-perl 0.20-2
libcarp-clan-perl 6.04-1
libcarp-clan-share-perl 0.013-1
libcarp-datum-perl 1:0.1.3-6
libcatalyst-action-rest-perl 1.14-1
libcatalyst-actionrole-acl-perl 0.07-1
libcatalyst-authentication-credential-http-perl 1.016-1
libcatalyst-controller-actionrole-perl 0.15-1
libcatalyst-devel-perl 1.39-1
libcatalyst-engine-apache-perl 1.16-1
libcatalyst-engine-psgi-perl 0.13+dfsg-1
libcatalyst-manual-perl 5.9007-1
libcatalyst-model-cdbi-perl 0.12-1
libcatalyst-modules-extra-perl 8
libcatalyst-modules-perl 47
libcatalyst-perl 5.90053-1
libcatalyst-plugin-log-dispatch-perl 0.121-1
libcatalyst-plugin-scheduler-perl 0.10-1
libcatalyst-plugin-smarturi-perl 0.039-1
libcatalyst-plugin-unicode-encoding-perl 0.039-1
libcatalyst-view-petal-perl 0.03-1
libcatalyst-view-tt-perl 0.41-1
libcatalystx-injectcomponent-perl 0.025-1
libcatalystx-leakchecker-perl 0.06-1
libcatalystx-simplelogin-perl 0.18-1
libccs-perl 0.18-1
libcdb-file-perl 0.97-2build1
libcddb-file-perl 1.05-1
libcddb-get-perl 2.28-1
libcddb-perl 1.222-1
libcdk-perl 20130816-1
libcflow-perl 1:0.68-12.1build1
libcgi-ajax-perl 0.707-1
libcgi-application-basic-plugin-bundle-perl 0.8
libcgi-application-dispatch-perl 3.12-1
libcgi-application-extra-plugin-bundle-perl 0.6
libcgi-application-perl 4.50-2
libcgi-application-plugin-actiondispatch-perl 0.99-1
libcgi-application-plugin-ajaxupload-perl 0.0.3-4
libcgi-application-plugin-anytemplate-perl 0.18-1
libcgi-application-plugin-authentication-perl 0.20-1
libcgi-application-plugin-authorization-perl 0.07-2
libcgi-application-plugin-autorunmode-perl 0.18-1
libcgi-application-plugin-captcha-perl 0.04-1
libcgi-application-plugin-config-simple-perl 1.01-1
libcgi-application-plugin-configauto-perl 1.33-1
libcgi-application-plugin-dbh-perl 4.04-1
libcgi-application-plugin-dbiprofile-perl 0.07-1
libcgi-application-plugin-devpopup-perl 1.07-2
libcgi-application-plugin-fillinform-perl 1.15-1
libcgi-application-plugin-formstate-perl 0.12-1
libcgi-application-plugin-forward-perl 1.06-1
libcgi-application-plugin-json-perl 1.02-1
libcgi-application-plugin-linkintegrity-perl 0.06-1
libcgi-application-plugin-logdispatch-perl 1.02-1
libcgi-application-plugin-messagestack-perl 0.34-1
libcgi-application-plugin-protectcsrf-perl 1.01-1
libcgi-application-plugin-ratelimit-perl 1.0-2
libcgi-application-plugin-requiressl-perl 0.04-1
libcgi-application-plugin-session-perl 1.05-1
libcgi-application-plugin-stream-perl 2.11-1
libcgi-application-plugin-tt-perl 1.05-2
libcgi-application-plugin-validaterm-perl 2.5-1
libcgi-application-plugin-viewcode-perl 1.02-2
libcgi-application-server-perl 0.063-1
libcgi-compile-perl 0.16-1
libcgi-cookie-splitter-perl 0.02-3
libcgi-emulate-psgi-perl 0.15-1
libcgi-extratags-perl 0.03-1
libcgi-fast-perl 5.18.2-2ubuntu1
libcgi-formalware-perl 1.16-1
libcgi-formbuilder-perl 3.08-2
libcgi-formbuilder-source-yaml-perl 1.0.8-3
libcgi-pm-perl 3.64-1
libcgi-pm-perl 3.64-1
libcgi-psgi-perl 0.15-1
libcgi-session-driver-memcached-perl 0.04-1
libcgi-session-expiresessions-perl 1.13-1
libcgi-session-perl 4.48-1
libcgi-session-serialize-yaml-perl 4.26-1
libcgi-simple-perl 1.113-2
libcgi-ssi-parser-perl 0.01-1
libcgi-ssi-perl 0.92-3
libcgi-untaint-date-perl 1.00-2
libcgi-untaint-email-perl 0.03-2
libcgi-untaint-perl 1.26-4
libcgi-uploader-perl 2.18-1
libcgi-validop-perl 0.56-1
libcgi-xml-perl 0.1-14
libcgi-xmlapplication-perl 1.1.3-7
libcgi-xmlform-perl 0.10-14
libchado-perl 1.23-1
libchart-clicker-perl 2.86-1
libchart-gnuplot-perl 0.20-2
libchart-perl 2.4.6-1
libchart-strip-perl 1.08-1
libcheck-isa-perl 0.04-1
libchemistry-elements-perl 1.07-2
libchemistry-formula-perl 3.0.1-1
libchemistry-openbabel-perl 2.3.2+dfsg-1.1
libchi-driver-memcached-perl 0.14-4
libchi-perl 0.58-1
libchild-perl 0.009-2
