alice 0.19-1
liblwp-authen-wsse-perl 0.05-2
liblwp-mediatypes-perl 6.02-1
liblwp-online-perl 1.08-1
liblwp-protocol-http-socketunix-perl 0.02-2
liblwp-protocol-https-perl 6.04-2ubuntu0.1
liblwp-protocol-psgi-perl 0.06-2
liblwp-protocol-socks-perl 1.6-1
liblwp-useragent-determined-perl 1.06-1
liblwpx-paranoidagent-perl 1.10-1
libmail-box-perl 2.110-1
libmail-bulkmail-perl 3.12-4
libmail-cclient-perl 1.12-11build2
libmail-checkuser-perl 1.21-2
libmail-deliverystatus-bounceparser-perl 1.534-1
libmail-dkim-perl 0.40-1
libmail-field-received-perl 0.26-1
libmail-gnupg-perl 0.19-1
libmail-imapclient-perl 3.35-1
libmail-imaptalk-perl 3.01-1
libmail-listdetector-perl 1.03+dfsg-1
libmail-mbox-messageparser-perl 1.5002-2
libmail-mboxparser-perl 0.55-4
libmail-milter-perl 0.06-1.1
libmail-pop3client-perl 2.18-1
libmail-rfc822-address-perl 0.3-4
libmail-sendeasy-perl 1.2-2
libmail-sender-perl 0.8.16-2
libmail-sendmail-perl 0.79.16-1
libmail-spf-perl 2.9.0-2
libmail-srs-perl 0.31-5
libmail-thread-perl 2.55-1
libmail-verify-perl 0.02-5
libmail-verp-perl 0.06+dfsg-1
libmailtools-perl 2.12-1
libmakefile-dom-perl 0.006-1
libmakefile-parser-perl 0.215-2
libmapscript-perl 6.4.1-2
libmarc-charset-perl 1.35-1
libmarc-crosswalk-dublincore-perl 0.02-2
libmarc-lint-perl 1.46-1
libmarc-perl 1.07-5
libmarc-record-perl 2.0.6-1
libmarc-xml-perl 1.0.2-1
libmason-perl 2.21-1
libmason-plugin-cache-perl 0.05-1
libmason-plugin-htmlfilters-perl 0.03-1
libmason-plugin-routersimple-perl 0.07-1
libmasonx-interp-withcallbacks-perl 1.19-1
libmasonx-processdir-perl 0.02-1
libmasonx-request-withapachesession-perl 0.30-3.1
libmath-algebra-symbols-perl 1.21-1
libmath-base36-perl 0.12-1
libmath-base85-perl 0.2+dfsg-1
libmath-basecalc-perl 1.017-1
libmath-basecnv-perl 1.8.B59BrZX-1
libmath-bezier-perl 0.01-1
libmath-bigint-gmp-perl 1.37-3
libmath-bigint-perl 1.37-3
libmath-bigint-perl 1.37-3
libmath-calc-units-perl 1.07-1
libmath-calculus-differentiate-perl 0.3-1
libmath-calculus-expression-perl 0.2.2.ds-1
libmath-calculus-newtonraphson-perl 0.1-1
libmath-combinatorics-perl 0.09-4
libmath-complex-perl 1.59-1
libmath-complex-perl 1.59-1
libmath-derivative-perl 0.01-6
libmath-fibonacci-perl 1.5-4
libmath-gmp-perl 2.06-1build3
libmath-gradient-perl 0.04-1
libmath-nocarry-perl 1.11-2
libmath-numbercruncher-perl 5.00-8
libmath-polygon-perl 1.02-1
libmath-random-isaac-perl 1.003-1
libmath-random-isaac-xs-perl 1.003-1build3
libmath-random-mt-perl 1.16-1build1
libmath-random-oo-perl 0.22-1
libmath-random-perl 0.71-3build2
libmath-random-tt800-perl 1.01-2build3
libmath-randomorg-perl 0.04-4
libmath-round-perl 0.06-4
libmath-sparsematrix-perl 0.03-1
libmath-sparsevector-perl 0.04-1
libmath-spline-perl 0.02-1
libmath-symbolic-perl 0.612-1
libmath-tamuanova-perl 1.0.2-2ubuntu2
libmath-vec-perl 1.01-2
libmath-vecstat-perl 0.08-1
libmath-vector-real-kdtree-perl 0.09-1
libmath-vector-real-perl 0.10-1
libmecab-perl 0.99.6-1
libmediawiki-api-perl 0.39-1
libmemoize-expirelru-perl 0.55-1
libmemoize-memcached-perl 0.03-2
libmethod-alias-perl 1.03-1
libmethod-autoload-perl 0.02-2
libmethod-signatures-perl 20131010-1
libmethod-signatures-simple-perl 1.07-1
libmidi-perl 0.80-3
libmime-base32-perl 1.02a-1
libmime-base64-urlsafe-perl 0.01-1
libmime-charset-perl 1.011.1-1
libmime-encwords-perl 1.014.2-1
libmime-explode-perl 0.39-2build2
libmime-lite-html-perl 1.23-1.1
libmime-lite-perl 3.030-1
libmime-tools-perl 5.505-1
libmime-types-perl 2.04-1
libmixin-extrafields-param-perl 0.020-1
libmixin-extrafields-perl 0.140001-1
libmixin-linewise-perl 0.104-1
libmkdoc-xml-perl 0.75-3
libmldbm-perl 2.05-1
libmldbm-sync-perl 0.30-4
libmocked-perl 0.09-4
libmodem-vgetty-perl 0.03-2
libmodern-perl-perl 1.20140107-1
libmodule-build-cipux-perl 0.4.0-7
libmodule-build-perl 0.420400-1
libmodule-build-perl 0.420400-1
libmodule-corelist-perl 3.04-1
libmodule-corelist-perl 3.04-1
libmodule-cpanfile-perl 1.0002-1
libmodule-cpants-analyse-perl 0.92+dfsg-1
libmodule-depends-perl 0.16-1
libmodule-extract-perl 0.01-1
libmodule-extract-use-perl 1.04-1
libmodule-extractuse-perl 0.31-1
libmodule-find-perl 0.11-1
libmodule-implementation-perl 0.07-1
libmodule-info-perl 0.35-1
libmodule-inspector-perl 1.05-2
libmodule-install-authorrequires-perl 0.02-1
libmodule-install-autolicense-perl 0.08-1
libmodule-install-automanifest-perl 0.003-1
libmodule-install-doap-perl 0.006-1
libmodule-install-doapchangesets-perl 0.206-1
libmodule-install-manifestskip-perl 0.20-1
libmodule-install-perl 1.06-1
libmodule-install-rdf-perl 0.009-1
libmodule-install-readmefrompod-perl 0.20-1
libmodule-install-trustmetayml-perl 0.003-2
libmodule-install-xsutil-perl 0.44-1
libmodule-load-conditional-perl 0.58-1
libmodule-load-conditional-perl 0.58-1
libmodule-manifest-perl 1.08-1
libmodule-manifest-skip-perl 0.17-1
libmodule-math-depends-perl 0.02-2
libmodule-metadata-perl 1.000019-1
libmodule-metadata-perl 1.000019-1
libmodule-optional-perl 0.03-1
libmodule-package-perl 0.30-2
libmodule-packaged-perl 0.86-3
libmodule-pluggable-fast-perl 0.19-1
libmodule-pluggable-ordered-perl 1.5-1
libmodule-refresh-perl 0.17-1
libmodule-runtime-perl 0.013-1
libmodule-scandeps-perl 1.13-1
libmodule-signature-perl 0.73-1
libmodule-starter-pbp-perl 0.0.3-1
libmodule-starter-perl 1.620+dfsg-1
libmodule-starter-plugin-cgiapp-perl 0.42-1
libmodule-starter-plugin-simplestore-perl 0.144-1
libmodule-starter-plugin-tt2-perl 0.125-1
libmodule-starter-smart-perl 0.0.4-1
libmodule-used-perl 1.3.0-1
libmodule-util-perl 1.09-1
libmodule-versions-report-perl 1.06-1
libmojo-server-fastcgi-perl 0.41-1
libmojolicious-perl 4.63+dfsg-1
libmojolicious-plugin-basicauth-perl 0.07-1
libmojomojo-perl 1.10+dfsg-1
libmongodb-perl 0.702.1+ds-1ubuntu1
libmonitoring-availability-perl 0.40-1
libmonitoring-livestatus-perl 0.74-1
libmonkey-patch-perl 0.03-1
libmoo-perl 1.004002-1
libmoose-autobox-perl 0.15-1
libmoose-perl 2.1005-1
libmoosex-aliases-perl 0.11-1
libmoosex-app-cmd-perl 0.27-1
libmoosex-async-perl 0.07-1
libmoosex-attribute-chained-perl 1.0.1-1
libmoosex-attributehelpers-perl 0.23-2
libmoosex-attributeshortcuts-perl 0.022-1
libmoosex-blessed-reconstruct-perl 0.04-2
libmoosex-clone-perl 0.05-1
libmoosex-compiletime-traits-perl 1.102570-1
libmoosex-configfromfile-perl 0.13-1
libmoosex-daemonize-perl 0.18-1
libmoosex-declare-perl 0.38-1
libmoosex-emulate-class-accessor-fast-perl 0.00903-1
libmoosex-followpbp-perl 0.05-1
libmoosex-getopt-perl 0.59-1
libmoosex-has-sugar-perl 0.05070422-1
libmoosex-hasdefaults-perl 0.03-1
libmoosex-insideout-perl 0.106-2
libmoosex-lazyrequire-perl 0.10-1
libmoosex-log-log4perl-perl 0.46-1
libmoosex-markasmethods-perl 0.15-1
libmoosex-meta-typeconstraint-forcecoercion-perl 0.01-1
libmoosex-method-signatures-perl 0.47-1
libmoosex-methodattributes-perl 0.29-1
libmoosex-multiinitarg-perl 0.02-1
libmoosex-multimethods-perl 0.10-1
libmoosex-nonmoose-perl 0.24-1
libmoosex-object-pluggable-perl 0.0012-1
libmoosex-oneargnew-perl 0.003-1
libmoosex-param-perl 0.02-1
libmoosex-params-validate-perl 0.18-1
libmoosex-poe-perl 0.215-1
libmoosex-relatedclassroles-perl 0.004-1
libmoosex-role-parameterized-perl 1.02-1
libmoosex-role-timer-perl 0.04-1
libmoosex-role-withoverloading-perl 0.13-1
libmoosex-semiaffordanceaccessor-perl 0.09-1
libmoosex-setonce-perl 0.200002-1
libmoosex-simpleconfig-perl 0.10-1
libmoosex-singleton-perl 0.29-1
libmoosex-storage-perl 0.45-1
libmoosex-strictconstructor-perl 0.19-1
libmoosex-traits-perl 0.12-1
libmoosex-traits-pluggable-perl 0.12-1
libmoosex-types-common-perl 0.001012-1
libmoosex-types-datetime-morecoercions-perl 0.11-1
libmoosex-types-datetime-perl 0.08-1
libmoosex-types-iso8601-perl 0.14-1
libmoosex-types-json-perl 0.03-1
libmoosex-types-loadableclass-perl 0.012-1
libmoosex-types-netaddr-ip-perl 0.06-1
libmoosex-types-path-class-perl 0.05-2
libmoosex-types-perl 0.41-1
libmoosex-types-perl-perl 0.101342-1
libmoosex-types-set-object-perl 0.04-1
libmoosex-types-structured-perl 0.30-1
libmoosex-types-varianttable-perl 0.04-2
libmoosex-undeftolerant-perl 0.19-1
libmoosex-yaml-perl 0.04-1
libmouse-perl 2.1.0-1
libmousex-getopt-perl 0.34-1
libmousex-nativetraits-perl 1.09-2
libmousex-strictconstructor-perl 0.02-1
libmousex-types-path-class-perl 0.07-1
libmousex-types-perl 0.06-1
libmozilla-ldap-perl 1.5.3-1build1
libmp3-info-perl 1.24-1
libmp3-tag-perl 1.13-1
libmp4-info-perl 1.13-1
libmqdb-perl 0.954-1
libmr-tarantool-perl 0.0.24-1
libmro-compat-perl 0.12-1
libmsgcat-perl 1.03-5build3
libmsoffice-word-html-writer-perl 1.02-1
libmultidimensional-perl 0.010-1build1
libmusicbrainz-discid-perl 0.03-3
libmysql-diff-perl 0.43-2
libnagios-object-perl 0.21.20-1
libnagios-plugin-perl 0.36-1
libnamespace-autoclean-perl 0.15-1
libnamespace-clean-perl 0.24-1
libnet-address-ip-local-perl 0.1.2-2
libnet-akamai-perl 0.14-1
libnet-akismet-perl 0.05-1
libnet-amazon-ec2-perl 0.24-1
libnet-amazon-perl 0.62-1
libnet-amazon-s3-perl 0.59-1
libnet-amazon-s3-tools-perl 0.08-1
libnet-appliance-session-perl 4.131260-1
libnet-arp-perl 1.0.8-1
libnet-bluetooth-perl 0.40-3build1
libnet-bonjour-perl 0.96-1
libnet-cidr-lite-perl 0.21-1
libnet-cidr-perl 0.17-1
libnet-citadel-perl 0.20-1
libnet-cli-interact-perl 2.133420-1
libnet-cups-perl 0.61-2build1
libnet-daap-dmap-perl 1.27-1
libnet-daemon-perl 0.48-1
libnet-dbus-glib-perl 0.33.0-1build3
libnet-dbus-perl 1.0.0-2build1
libnet-dhcp-perl 0.693+dfsg-1
libnet-dns-async-perl 1.07-1
libnet-dns-fingerprint-perl 0.9.3-5
libnet-dns-perl 0.68-1.2build1
libnet-dns-resolver-programmable-perl 0.003-2
libnet-dns-sec-perl 0.16-2
libnet-domain-tld-perl 1.70-1
libnet-dpap-client-perl 0.26-2
libnet-dri-perl 0.96-1
libnet-dropbox-api-perl 1.9-1
libnet-easytcp-perl 0.26-3
libnet-epp-perl 0.19-1
libnet-finger-perl 1.06-6
libnet-frame-perl 1.10-1
libnet-freedb-perl 0.08-2build2
libnet-github-perl 0.55-1
libnet-google-authsub-perl 0.5-1
libnet-google-code-perl 0.19-2
libnet-gpsd3-perl 0.19-1
libnet-handlersocket-perl 1.1.0-7-g1044a28-1.1build1
libnet-hiveminder-perl 0.08-1
libnet-hotline-perl 0.83-2
libnet-http-perl 6.06-1
libnet-https-any-perl 0.10-3
libnet-https-nb-perl 0.13-1
libnet-httpserver-perl 1.1.1-1
libnet-ident-perl 1.23-1
libnet-ifconfig-wrapper-perl 0.11-1
libnet-imap-client-perl 0.9504-1
libnet-imap-perl 0.02-7
libnet-imap-simple-perl 1.2204-1
libnet-imap-simple-ssl-perl 1.3-3
libnet-inet6glue-perl 0.602-1
libnet-ip-minimal-perl 0.06-1
libnet-ip-perl 1.26-1
libnet-iptrie-perl 0.7-1
libnet-ipv6addr-perl 0.2.dfsg.1-3
libnet-irc-perl 0.75-8
libnet-irr-perl 0.08-1
libnet-jabber-bot-perl 2.1.5-1
libnet-jabber-loudmouth-perl 0.07-2build3
libnet-jabber-perl 2.0-5
libnet-jifty-perl 0.14-1
libnet-ldap-filterbuilder-perl 1.0004-1
libnet-ldap-perl 1:0.5800-1
libnet-ldap-server-perl 0.4-2
libnet-ldapapi-perl 3.0.3-7build3
libnet-libdnet-perl 0.98-1build1
libnet-libidn-perl 0.12.ds-1build4
libnet-mac-perl 2.103622-1
libnet-mac-vendor-perl 1.21-1
libnet-managesieve-perl 0.10-1
libnet-nbname-perl 0.26-1
libnet-netmask-perl 1.9016-1
libnet-nis-perl 0.43-1build3
libnet-nslookup-perl 2.04-1
libnet-ntp-perl 1.3-1
libnet-oauth-perl 0.28-1
libnet-openid-common-perl 1.17-1
libnet-openid-consumer-perl 1.13-1
libnet-openid-server-perl 1.09-1
libnet-opensrs-perl 0.06-1
libnet-openssh-compat-perl 0.06-1
libnet-openssh-perl 0.60-1
libnet-oping-perl 1.6.2-1.21-4
libnet-patricia-perl 1.22-1
libnet-pcap-perl 0.17-1build1
libnet-ph-perl 2.21-7
libnet-ping-external-perl 0.13-1
libnet-proxy-perl 0.12-6
libnet-rawip-perl 0.25-1build3
libnet-rblclient-perl 0.5-2
libnet-remctl-perl 3.8-3
libnet-rendezvous-publish-backend-avahi-perl 0.04-1
libnet-rendezvous-publish-perl 0.04-2
libnet-scp-expect-perl 0.16-1
libnet-scp-perl 0.08-3
libnet-server-mail-perl 0.21-1
libnet-server-perl 2.007-3
libnet-sftp-foreign-perl 1.77+dfsg-1
libnet-sieve-perl 0.11-1
libnet-sieve-script-perl 0.08-1
libnet-sip-perl 0.683-1
libnet-smpp-perl 1.19-1
libnet-smtp-server-perl 1.1-4
libnet-smtp-ssl-perl 1.01-3
libnet-smtp-tls-butmaintained-perl 0.24-1
libnet-smtp-tls-perl 0.12-2
libnet-smtpauth-perl 0.08-4
libnet-snmp-perl 6.0.1-2
libnet-snpp-perl 1.17-3
libnet-socks-perl 0.03-13
libnet-ssh-perl 0.09-3
libnet-ssh2-perl 0.53-1
libnet-ssleay-perl 1.58-1
libnet-sslglue-perl 1.04-1
libnet-stomp-perl 0.46-1
libnet-subnets-perl 1.0-1
libnet-tclink-perl 3.4.0-6build1
libnet-telnet-cisco-perl 1.10-5
libnet-telnet-perl 3.04-1
libnet-tftp-perl 0.19-1
libnet-tftpd-perl 0.06-1
libnet-trac-perl 0.16-1
libnet-traceroute-perl 1.14-1
libnet-traceroute-pureperl-perl 0.10-1
libnet-upnp-perl 1.4.2-1
libnet-vnc-perl 0.40-1
libnet-whois-parser-perl 0.07-1
libnet-whois-raw-perl 2.43-1
libnet-whois-ripe-perl 1.23-1
libnet-write-perl 1.07-1
libnet-xmpp-perl 1.02-3
libnet-xwhois-perl 0.90-4
libnet-z3950-simple2zoom-perl 1.04-1
libnet-z3950-simpleserver-perl 1.15-1build1
libnet-z3950-zoom-perl 1.26-1build3
libnetaddr-ip-perl 4.071+dfsg-1
libnetapp-perl 500.002-1
libnetdot-client-rest-perl 1.02-1
libnetpacket-perl 1.4.4-1
libnetsds-kannel-perl 1.300-5
libnetsds-perl 1.301-2
libnetsds-util-perl 1.044-3
libnetwork-ipv4addr-perl 0.10.ds-2
libnews-article-nocem-perl 0.08-1
libnews-article-perl 1.27-8
libnews-newsrc-perl 1.11-1
libnews-nntpclient-perl 0.37-8
libnews-scan-perl 0.53-3
libnflog-perl 0.2-3build1
libnfqueue-perl 0.4-6
libnkf-perl 2.13-1
libnmap-parser-perl 1.05-2
libnumber-bytes-human-perl 0.09-1
libnumber-compare-perl 0.03-1
libnumber-format-perl 1.73-2ubuntu1
libnumber-fraction-perl 2.00-2
libnumber-range-perl 0.10-1
libnumber-recordlocator-perl 0.005-1
liboar-perl 2.5.2-4.1
libobexftp-perl 0.23-1.2ubuntu3
libobject-authority-perl 0.23-1.2ubuntu3
libobject-declare-perl 0.22-2
libobject-destroyer-perl 2.00-1
libobject-event-perl 1.230-1
libobject-id-perl 0.1.2-1
libobject-insideout-perl 3.97-1
libobject-multitype-perl 0.05-3
libobject-pluggable-perl 1.29-1
libobject-realize-later-perl 0.19-1
libobject-role-perl 0.19-1
libobject-signature-perl 1.07-1
libobject-tiny-perl 1.06-1
libogg-vorbis-decoder-perl 0.9-1build3
libogg-vorbis-header-pureperl-perl 1.0-3
libogre-perl 0.60-1
libois-perl 0.05-3build1
libole-storage-lite-perl 0.19-1
libooolib-perl 0.1.9-1
libopengl-perl 0.6703+dfsg-1
libopengl-xscreensaver-perl 0.05-1
libopenoffice-oodoc-perl 2.125-3
libopenscap-perl 1.0.2-1
libopensrs-perl 3.0.0-1
liborlite-migrate-perl 1.10-1
liborlite-mirror-perl 1.24-1
liborlite-perl 1.98-1
liborlite-statistics-perl 0.03-1
libosm-gary68-perl 0.0~svn26727-1
libossp-uuid-perl 1.6.2-1.3ubuntu1
libouch-perl 0.0408-1
libow-perl 2.8p15-1ubuntu4
libowl-directsemantics-perl 0.001-1
libownet-perl 2.8p15-1ubuntu4
liboxford-calendar-perl 2.09-1
libpackage-deprecationmanager-perl 0.13-1
libpackage-new-perl 0.07-1
libpackage-pkg-perl 0.0020-1
libpackage-stash-perl 0.36-1
libpackage-stash-xs-perl 0.28-1
libpadre-plugin-autoformat-perl 1.22-5
libpadre-plugin-datawalker-perl 0.04-2
libpadre-plugin-git-perl 0.12-1
libpadre-plugin-moose-perl 0.21-2
libpadre-plugin-parsertool-perl 0.01-1
libpadre-plugin-pdl-perl 0.05-2
libpadre-plugin-perlcritic-perl 0.12-2
libpadre-plugin-perltidy-perl 0.21-1
libpadre-plugin-snippet-perl 0.01-2
libpadre-plugin-spellcheck-perl 1.32-1
libpadre-plugin-svn-perl 0.05-1
libpadre-plugin-yaml-perl 0.10-1
libpadwalker-perl 1.98-1
libpalm-perl 1:1.012-2
libpango-perl 1.224-2
libpar-dist-perl 0.49-2
libpar-packer-perl 1.017-1build1
libpar-perl 1.007-1
libparallel-forkmanager-perl 1.06-1
libparallel-iterator-perl 1.00-1
libparams-callbackrequest-perl 1.20-1
libparams-classify-perl 0.013-4build2
libparams-coerce-perl 0.14-1
libparams-util-perl 1.07-1build1
libparams-validate-perl 1.08-1
libparanoid-perl 0.34-1
libparse-cpan-meta-perl 1.4409-1
libparse-cpan-meta-perl 1.4409-1
libparse-cpan-packages-perl 2.38-1
libparse-debcontrol-perl 2.005-4
libparse-debian-packages-perl 0.03-1
libparse-debianchangelog-perl 1.2.0-1ubuntu1
libparse-dia-sql-perl 0.27-1
libparse-dmidecode-perl 0.03-1
libparse-edid-perl 1.0.4-1
libparse-errorstring-perl-perl 0.19-1
libparse-exuberantctags-perl 1.01-1build3
libparse-fixedlength-perl 5.39-1
libparse-http-useragent-perl 0.39-1
libparse-mediawikidump-perl 1.0.6-1
libparse-method-signatures-perl 1.003016-1
libparse-pidl-perl 2:4.1.6+dfsg-1ubuntu2.14.04.7
libparse-plainconfig-perl 2.06-1
libparse-recdescent-perl 1.967009+dfsg-1
libparse-syslog-perl 1.10-2ubuntu1
libparse-win32registry-perl 1.0-1
libparse-yapp-perl 1.05-12
libpasswd-unix-perl 0.700-1
libpath-class-file-stat-perl 0.05-1
libpath-class-perl 0.33-1
libpath-dispatcher-declarative-perl 0.03-1
libpath-dispatcher-perl 1.05-1
libpcsc-perl 1.4.13-1build1
libpda-pilot-perl 0.12.5-6ubuntu2
libpdf-api2-perl 2.020-2
libpdf-api2-simple-perl 1.1.4u-3
libpdf-create-perl 1.08-1
libpdf-fdf-simple-perl 0.21-1
libpdf-report-perl 1.36-1
libpdf-reuse-barcode-perl 0.05-2
libpdf-reuse-perl 0.35-2
libpdf-table-perl 0.9.6003-1
libpdl-io-hdf5-perl 0.63-3build1
libpdl-netcdf-perl 4.16-3build2
libpdl-stats-perl 0.6.2-1build1
libperl-apireference-perl 0.16-1
libperl-critic-perl 1.121-1
libperl-destruct-level-perl 0.02-1build3
libperl-metrics-simple-perl 0.17-1
libperl-minimumversion-perl 1.32-1
libperl-prereqscanner-perl 1.019-1
libperl-version-perl 1.010-1
libperl4-corelibs-perl 0.003-1
libperl4-corelibs-perl 0.003-1
libperl5i-perl 2.12.0-1
libperl6-caller-perl 0.100-2
libperl6-export-attrs-perl 0.0.3-1
libperl6-export-perl 0.07-10
libperl6-form-perl 0.04-6
libperl6-junction-perl 1.60000-1
libperl6-say-perl 0.12-1.1
libperl6-slurp-perl 0.051004-1
libperlanet-perl 0.56-2
libperlbal-perl 1.80-2
libperlbal-xs-httpheaders-perl 0.20-2build1
libperldoc-search-perl 0.01-3
libperlio-eol-perl 0.14-2
libperlio-gzip-perl 0.18-1build3
libperlio-via-dynamic-perl 0.14-1
libperlio-via-symlink-perl 0.05-2
libperlmenu-perl 4.0-5
libperlspeak-perl 2.01-1
libperlx-maybe-perl 0.004-1
libpetal-perl 2.23-1
libpetal-utils-perl 0.06-2
libpg-perl 1:2.1.1-4build3
libpgp-sign-perl 0.20-3
libpgplot-perl 1:2.21-3.1
libphp-serialization-perl 0.34-1
libplack-middleware-crossorigin-perl 0.009-1
libplack-middleware-deflater-perl 0.12-1
libplack-middleware-expires-perl 0.03-1
libplack-middleware-file-sass-perl 0.03-2
libplack-middleware-reverseproxy-perl 0.15-1
libplack-middleware-session-perl 0.21-1
libplack-middleware-status-perl 1.101150-1
libplack-perl 1.0030-1
libplack-test-externalserver-perl 0.01-1
libplot-perl 2.2.2-5build3
libplot-perl 2.2.2-5build3
libplucene-perl 1.25-3
libpod-2-docbook-perl 0.03-2
libpod-abstract-perl 0.20-1
libpod-constants-perl 0.16-2
libpod-coverage-perl 0.23-1
libpod-coverage-trustpod-perl 0.100003-1
libpod-elemental-perl 0.103000-1
libpod-elemental-perlmunger-perl 0.200001-1
libpod-eventual-perl 0.094001-1
libpod-index-perl 0.14-2
libpod-markdown-perl 1.500000-1
libpod-plainer-perl 1.03-1
libpod-pom-perl 0.29-1
libpod-pseudopod-perl 0.18-1
libpod-readme-perl 0.11-1
libpod-sax-perl 0.14-5
libpod-simple-perl 3.28-1
libpod-simple-perl 3.28-1
libpod-simple-wiki-perl 0.15-1
libpod-spell-perl 1.12-1
libpod-strip-perl 1.02-1
libpod-tests-perl 1.19-3
libpod-tree-perl 1.17-1
libpod-weaver-perl 4.006-1
libpod-webserver-perl 3.05-1
libpod-wordlist-hanekomu-perl 1.121370-1
libpod-wsdl-perl 0.062-1
libpod-xhtml-perl 1.60-1
libpod2-base-perl 0.043-1
libpoe-api-peek-perl 2.2000-1
libpoe-component-client-dns-perl 1:1.051-1ubuntu1
libpoe-component-client-http-perl 0.948-1
libpoe-component-client-ident-perl 1.07-2
libpoe-component-client-keepalive-perl 0.2710-1
libpoe-component-client-mpd-perl 1.121670-1
libpoe-component-client-ping-perl 1.171-1
libpoe-component-dbiagent-perl 0.26-2
libpoe-component-ikc-perl 0.2305-1
libpoe-component-irc-perl 6.83+dfsg-1
libpoe-component-jabber-perl 3.00-2
libpoe-component-jobqueue-perl 0.5700-1
libpoe-component-pcap-perl 0.04-2
libpoe-component-pubsub-perl 0.05-1
libpoe-component-resolver-perl 0.920-1
libpoe-component-server-http-perl 0.09-2
libpoe-component-server-simplehttp-perl 2.18-1
libpoe-component-server-soap-perl 1.14-1
libpoe-component-sslify-perl 1.008-1
libpoe-component-syndicator-perl 0.06-1
libpoe-filter-http-parser-perl 1.06-1
libpoe-filter-ircd-perl 2.44-1
libpoe-filter-stomp-perl 0.04-1
libpoe-filter-xml-perl 1.102960-1
libpoe-loop-event-perl 1.305-1
libpoe-loop-tk-perl 1.305-1
libpoe-perl 2:1.3580-1
libpoe-test-loops-perl 1.353-1
libpoet-perl 0.13-2
libposix-strptime-perl 0.10-1build3
libpostfix-parse-mailq-perl 1.004-1
libpostscript-file-perl 2.20+dfsg-1
libpostscript-perl 0.06-2
libpostscript-simple-perl 0.07-3
libppi-html-perl 1.08-1
libppi-perl 1.215-1
libppi-xs-perl 0.902-1
libppix-editortools-perl 0.18-1
libppix-regexp-perl 0.036-1
libppix-utilities-perl 1.001000-1
libpragmatic-perl 1.7-2
libprefork-perl 1.04-2
libprelude-perl 1.0.0-11ubuntu4
libpreludedb-perl 1.0.0-2.1ubuntu1
libprima-perl 1.28-1.2
libprivileges-drop-perl 1.03-1
libprobe-perl-perl 0.03-1
libproc-background-perl 1.10-1
libproc-daemon-perl 0.14-2
libproc-fork-perl 0.802-1
libproc-invokeeditor-perl 1.06-1
libproc-pid-file-perl 1.27-3
libproc-processtable-perl 0.50-1
libproc-reliable-perl 1.16-1
libproc-simple-perl 1.31-1
libproc-syncexec-perl 1.01-1
libproc-waitstat-perl 1.00-4
libprophet-perl 0.750-1
libprpc-perl 0.1005-21
libqdbm-perl 1.8.78-3
libqpid-perl 0.16-7ubuntu5
libqtcore4-perl 4:4.13.0-0ubuntu1
libqtgui4-perl 4:4.13.0-0ubuntu1
libqtnetwork4-perl 4:4.13.0-0ubuntu1
libqttest4-perl 4:4.13.0-0ubuntu1
libqtxml4-perl 4:4.13.0-0ubuntu1
libquantum-entanglement-perl 0.32-2
libquantum-superpositions-perl 2.02-2
libquota-perl 1.7.1+dfsg-1
librcs-perl 1.05-4
librdf-acl-perl 0.103-1
librdf-closure-perl 0.001-2
librdf-crypt-perl 0.002-2
librdf-endpoint-perl 0.05-1
librdf-generator-void-perl 0.12-1
librdf-helper-perl 2.0-1
librdf-helper-properties-perl 0.22-1
librdf-icalendar-perl 0.004-1
librdf-kml-exporter-perl 0.003-1
librdf-linkeddata-perl 0.58-1
librdf-ns-perl 20130930-1
librdf-perl 1.0.16.1-1.1ubuntu1
librdf-prefixes-perl 0.004-1
librdf-query-client-perl 0.112-1
librdf-query-perl 2.910-2
librdf-rdfa-generator-perl 0.103-1
librdf-rdfa-parser-perl 1.097-1
librdf-trin3-perl 0.204-1
librdf-trine-node-literal-xml-perl 0.16-1
librdf-trine-perl 1.007-2
librdf-trineshortcuts-perl 1.007-2
librdf-trinex-functions-perl 0.004-2
librdf-vcard-perl 0.010-2
libreadonly-perl 1.04-1
libreadonly-xs-perl 1.05-1
libredis-perl 2:1.9670-1
libregexp-assemble-perl 0.35-8
libregexp-common-email-address-perl 1.01-4
libregexp-common-net-cidr-perl 0.02-1
libregexp-common-perl 2013031301-1
libregexp-common-time-perl 0.05-1
libregexp-grammars-perl 1.033-1
libregexp-ipv6-perl 0.03-1
libregexp-optimizer-perl 0.23-1
libregexp-reggrp-perl 1.002001-1
libregexp-shellish-perl 0.93-2
librelative-perl 0.04-1
librest-application-perl 0.992-2
libreturn-value-perl 1.666003-1
librg-blast-parser-perl 0.03-1build1
librg-reprof-bundle-perl 1.0.1-1
librg-utils-perl 1.0.43-2
librhash-perl 1.0.43-2
librivescript-perl 1.30-1
librole-hasmessage-perl 0.006-1
librole-identifiable-perl 0.006-1
librole-tiny-perl 1.003002-1
libroman-perl 1.23-1
libromana-perligata-perl 0.55-1
libropkg-perl 0.4-1
librose-datetime-perl 0.540-1
librose-db-object-perl 1:0.810-1
librose-db-perl 0.775-1
librose-object-perl 0.860-1
librose-uri-perl 1.00-1
librouter-simple-perl 0.15-1
librpc-xml-perl 0.77-1
librplay-perl 3.3.2-14
librrdp-perl 1.4.7-2ubuntu5
