atfs-dev 1.4pl6-11
libboost-graph-dev 1.54.0.1ubuntu1
libboost-graph-parallel-dev 1.54.0.1ubuntu1
libboost-graph-parallel1.49-dev 1.54.0.1ubuntu1
libboost-graph1.49-dev 1.54.0.1ubuntu1
libboost-iostreams-dev 1.54.0.1ubuntu1
libboost-iostreams1.49-dev 1.54.0.1ubuntu1
libboost-locale-dev 1.54.0.1ubuntu1
libboost-locale1.49-dev 1.54.0.1ubuntu1
libboost-math-dev 1.54.0.1ubuntu1
libboost-math1.49-dev 1.54.0.1ubuntu1
libboost-mpi-dev 1.54.0.1ubuntu1
libboost-mpi-python-dev 1.54.0.1ubuntu1
libboost-mpi-python1.49-dev 1.54.0.1ubuntu1
libboost-mpi1.49-dev 1.54.0.1ubuntu1
libboost-program-options-dev 1.54.0.1ubuntu1
libboost-program-options1.49-dev 1.54.0.1ubuntu1
libboost-python-dev 1.54.0.1ubuntu1
libboost-python1.49-dev 1.54.0.1ubuntu1
libboost-random-dev 1.54.0.1ubuntu1
libboost-random1.49-dev 1.54.0.1ubuntu1
libboost-regex-dev 1.54.0.1ubuntu1
libboost-regex1.49-dev 1.54.0.1ubuntu1
libboost-serialization-dev 1.54.0.1ubuntu1
libboost-serialization1.49-dev 1.54.0.1ubuntu1
libboost-signals-dev 1.54.0.1ubuntu1
libboost-signals1.49-dev 1.54.0.1ubuntu1
libboost-system-dev 1.54.0.1ubuntu1
libboost-system1.49-dev 1.54.0.1ubuntu1
libboost-test-dev 1.54.0.1ubuntu1
libboost-test1.49-dev 1.54.0.1ubuntu1
libboost-thread-dev 1.54.0.1ubuntu1
libboost-thread1.49-dev 1.54.0.1ubuntu1
libboost-timer-dev 1.54.0.1ubuntu1
libboost-timer1.49-dev 1.54.0.1ubuntu1
libboost-wave-dev 1.54.0.1ubuntu1
libboost-wave1.49-dev 1.54.0.1ubuntu1
libboost1.49-all-dev 1.54.0.1ubuntu1
libboost1.49-dev 1.54.0.1ubuntu1
libbotan1.10-dev 1.10.5-1ubuntu1
libbox-dev 2.5-3
libbox2d-dev 2.3.0+ds-2
libbpp-core-dev 2.1.0-1
libbpp-phyl-dev 2.1.0-1
libbpp-popgen-dev 2.1.0-1
libbpp-qt-dev 2.1.0-1
libbpp-raa-dev 2.1.0-1
libbpp-seq-dev 2.1.0-1
libbrahe-dev 1.3.2-4
libbrasero-media3-dev 3.10.0-0ubuntu1
libbrlapi-dev 5.0-2ubuntu2
libbs2b-dev 3.1.0+dfsg-2ubuntu2
libbsd-dev 0.6.0-2ubuntu1
libbse-dev 0.7.8-1
libbt-dev 0.70.1-20ubuntu2
libbuffy-dev 1.9.2-2
libbulletml-dev 0.0.6-6
libburn-dev 1.3.4-0ubuntu1
libbuzztard-dev 0.6.0-1.1
libbz2-dev 1.0.6-5
libc-ares-dev 1.10.0-2
libc-client2007e-dev 8:2007f~dfsg-2
libc-dev-bin 2.19-0ubuntu6.6
libc0.1-dev 2.19-0ubuntu6.6
libc0.1-dev-i386 2.19-0ubuntu6.6
libc0.1-pic 2.19-0ubuntu6.6
libc0.1-prof 2.19-0ubuntu6.6
libc6-dbg 2.19-0ubuntu6.6
libc6-dev 2.19-0ubuntu6.6
libc6-dev 2.19-0ubuntu6.6
libc6-dev-amd64 2.19-0ubuntu6.6
libc6-dev-i386 2.19-0ubuntu6.6
libc6-dev-mips64 2.19-0ubuntu6.6
libc6-dev-mipsn32 2.19-0ubuntu6.6
libc6-dev-ppc64 2.19-0ubuntu6.6
libc6-dev-s390 2.19-0ubuntu6.6
libc6-dev-s390x 2.19-0ubuntu6.6
libc6-dev-sparc64 2.19-0ubuntu6.6
libc6-pic 2.19-0ubuntu6.6
libc6-prof 2.19-0ubuntu6.6
libc6.1-dbg 2.19-0ubuntu6.6
libc6.1-dev 2.19-0ubuntu6.6
libc6.1-pic 2.19-0ubuntu6.6
libc6.1-prof 2.19-0ubuntu6.6
libcableswig-dev 0.1.0+cvs20111009-1.1
libcaca-dev 0.99.beta18-1ubuntu5
libcairo2-dev 1.13.0~20140204-0ubuntu1.1
libcairomm-1.0-dev 1.10.0-1ubuntu3
libcal3d12-dev 0.11.0-4.1ubuntu1
libcam-dev 0.11.0-4.1ubuntu1
libcamel1.2-dev 3.10.4-0ubuntu1.5
libcanberra-dev 0.30-0ubuntu3
libcanberra-gtk-common-dev 0.30-0ubuntu3
libcanberra-gtk-dev 0.30-0ubuntu3
libcanberra-gtk3-dev 0.30-0ubuntu3
libcanlock2-dev 2b-6
libcanna1g-dev 3.7p3-12
libcap-dev 1:2.24-0ubuntu2
libcap-ng-dev 0.7.3-1ubuntu2
libcapi20-dev 1:3.25+dfsg1-3.3ubuntu2
libcapsinetwork-dev 0.3.0-8
libcaribou-dev 0.4.13-0ubuntu1
libcbf-dev 0.9.2.2-1
libccaudio2-dev 2.1.1-1ubuntu1
libccfits-dev 2.4-1ubuntu1
libcconv-dev 0.6.2-1ubuntu1
libccrtp-dev 2.0.6-3
libccs-dev 2.0.6-3
libccscript3-dev 1.1.7-2ubuntu1
libccss-dev 0.5.0-4
libcdaudio-dev 0.99.12p2-13
libcdb-dev 0.78
libcdd-dev 094g-5
libcddb2-dev 1.3.2-4fakesync2
libcdi-dev 1.6.2+dfsg.1-1
libcdio-cdda-dev 0.83-4.1ubuntu1
