2vcard 0.5-3
gdf-tools 0.1.2-2build3
gedit-valencia-plugin 0.4.0-0ubuntu3
genisovh 0.1-4
geoclue 0.12.99-3ubuntu1
geoclue-geonames 0.12.99-3ubuntu1
geoclue-gsmloc 0.12.99-3ubuntu1
geoclue-hostip 0.12.99-3ubuntu1
geoclue-localnet 0.12.99-3ubuntu1
geoclue-manual 0.12.99-3ubuntu1
geoclue-nominatim 0.12.99-3ubuntu1
geoclue-plazes 0.12.99-3ubuntu1
geoclue-skyhook 0.12.99-3ubuntu1
geoclue-yahoo 0.12.99-3ubuntu1
geotranz 3.3-1
germinate 2.16.1
ges0.10-tools 0.10.1-2
gesftpserver 0.1-3
gettext-base 0.18.3.1-1ubuntu3
gfarm-client 2.4.1-1.1ubuntu1
giflib-tools 4.1.6-11
gifti-bin 1.0.9-1
gigtools 3.3.0-2
git-annex 5.20140412ubuntu1
github-backup 1.20131203
github-cli 1.20131203
glark 1.20131203
glbsp 2.24-2
glew-utils 1.10.0-3
glipper 2.4-4
glogg 0.9.2-1
gmemusage 0.2-11ubuntu1
gmime-bin 2.6.20-0ubuntu1
gmtkbabel 0.1-1
gnu-fdisk 1.2.5-2
gnuit 4.9.5-3
gnupg 1.4.16-1ubuntu2.3
gnupg-agent 2.0.22-3ubuntu1.3
gnupg-curl 1.4.16-1ubuntu2.3
gnupg-pkcs11-scd 0.7.3-1
gnupg2 2.0.22-3ubuntu1.3
go2 1.20121210-1
goaccess 1:0.6-1
goldendict 1.5.0~git20131003-1build1
google-sitemapgen 1.5-3
gosmore 0.0.0.20100711-2.1ubuntu1
goto-common 3.1-1.1
goto-fai 3.1-1.1
goto-fai-backend 3.0-1.1
goto-fai-progress 3.0-1
gpa 0.9.4-1
gpdftext 0.1.6-1
gpe-announce 0.1.6-1
gpe-bluetooth 0.1.6-1
gpe-calendar 0.1.6-1
gpe-expenses 0.1.6-1
gpe-filemanager 0.1.6-1
gpe-mininet 0.1.6-1
