libassa3.5-5 3.5.1-3ubuntu1
libassimp3 3.0~dfsg-2
libassuan0 2.1.1-1ubuntu1
libast2 0.7-6ubuntu1
libasyncns0 0.8-4ubuntu2
libatasmart4 0.19-3
libatfs1 1.4pl6-11
libatk-bridge2.0-0 2.10.2-2ubuntu1
libatk1.0-0 2.10.0-2ubuntu2
libatkmm-1.6-1 2.22.7-2ubuntu1
libatlas-cpp-0.6-1 0.6.2-3
libatlas3-base 3.10.1-4
libatm1 1:2.5.1-1.5
libatomicparsley0 2.1.4-1ubuntu2
libatspi1.0-0 2.1.4-1ubuntu2
libatspi2.0-0 2.10.2.is.2.10.1-0ubuntu1
libattica0 2.10.2.is.2.10.1-0ubuntu1
libattr1 1:2.4.47-1ubuntu1
libaubio2 1:2.4.47-1ubuntu1
libaudclient2 3.4.3-1
libaudcore1 3.4.3-1
libaudio2 1.9.4-1
libaudiofile1 0.3.6-2
libaudiomask1 1.0-2ubuntu1
libaudit0 1.0-2ubuntu1
libaugeas0 1.2.0-0ubuntu1.1
libaunit3 1.03-8
libautotrace3 0.31.1-16build2
libautounit2 0.20.1-4
libavahi-client3 0.6.31-4ubuntu1
libavahi-common-data 0.6.31-4ubuntu1
libavahi-common3 0.6.31-4ubuntu1
libavahi-compat-libdnssd1 0.6.31-4ubuntu1
libavahi-core7 0.6.31-4ubuntu1
libavahi-glib1 0.6.31-4ubuntu1
libavahi-gobject0 0.6.31-4ubuntu1
libavahi-qt4-1 0.6.31-4ubuntu1
libavahi-ui-gtk3-0 0.6.31-4ubuntu1
libavahi-ui0 0.6.31-4ubuntu1
libavbin0 7-1.4build1
libavc1394-0 0.5.4-2
libavcodec-extra-53 0.5.4-2
libavcodec53 0.5.4-2
libavdevice-extra-53 6:9.18-0ubuntu0.14.04.1
libavdevice-extra-53 6:9.18-0ubuntu0.14.04.1
libavdevice53 6:9.18-0ubuntu0.14.04.1
libavfilter-extra-2 6:9.18-0ubuntu0.14.04.1
libavfilter-extra-2 6:9.18-0ubuntu0.14.04.1
libavfilter2 6:9.18-0ubuntu0.14.04.1
libavformat-extra-53 6:9.18-0ubuntu0.14.04.1
libavformat-extra-53 6:9.18-0ubuntu0.14.04.1
libavformat53 6:9.18-0ubuntu0.14.04.1
libavifile-0.7c2 1:0.7.48~20090503.ds-14build1
libavl1 0.3.5-3
libavogadro1 1.1.1-0ubuntu2
libavutil-extra-51 1.1.1-0ubuntu2
libavutil-extra-51 1.1.1-0ubuntu2
libavutil51 1.1.1-0ubuntu2
libaws2.10.2 2.10.2-4
libax25 0.0.12-rc2+cvs20120204-2ubuntu2
libbabl-0.1-0 0.1.10-1ubuntu2
libball1.4 0.1.10-1ubuntu2
libballview1.4 0.1.10-1ubuntu2
libbamf0 0.1.10-1ubuntu2
libbamf3-0 0.1.10-1ubuntu2
libbarry18 0.18.5-1
libbash 0.9.11-1
libbatik-java 1.7.ubuntu-8ubuntu2.14.04.1
libbdd0c2 2.4-9ubuntu1
libbeecrypt7 4.2.1-4
libbfb0 0.23-1.2ubuntu3
libbg1 1.106-1
libbibutils2 4.12-5
libbind4 6.0-1ubuntu3
libbind9-80 6.0-1ubuntu3
libbinio1ldbl 1.4+dfsg1-3ubuntu1
libbio2jack0 0.9-2.1
libbiococoa2 2.2.2-2
libbiosig1 1.3.0-2build2
libbisho-common0 0.27.2+git20111122.9e68ef3d-2
libbitmask1 2.0-2
libblacs-mpi1 1.1-31.1ubuntu1
libblas3 1.2.20110419-7
libblimps3 3.9-1
libbliss1d 0.72-5
libblitz0ldbl 1:0.10-1ubuntu1
libblkid1 2.20.1-5.1ubuntu20.4
libblktapctl0 2.0.90-2ubuntu1
libblocksruntime0 0.1-1
libbluedevil1 2.0~rc1really1.9.4-0ubuntu1
libbluetooth3 4.101-0ubuntu13.1
libbluray-bdj 1:0.5.0-1
libbluray1 1:0.5.0-1
libbml0 0.6.1-1ubuntu1
libbobcat3 3.19.01-1ubuntu1
libbogl0 0.1.18-9ubuntu1
libbognor-regis-0.6-0 0.6.12+git20101007.02c25268-8
libbonobo2-0 2.32.1-0ubuntu5
libbonoboui2-0 2.24.5-0ubuntu3
libbonoboui2-common 2.24.5-0ubuntu3
libboolstuff-0.1-0 0.1.14-2
libboost-chrono1.49.0 0.1.14-2
libboost-date-time1.49.0 0.1.14-2
libboost-filesystem1.49.0 0.1.14-2
libboost-graph-parallel1.49.0 0.1.14-2
libboost-graph1.49.0 0.1.14-2
libboost-iostreams1.49.0 0.1.14-2
libboost-locale1.49.0 0.1.14-2
libboost-math1.49.0 0.1.14-2
libboost-mpi-python1.49.0 0.1.14-2
libboost-mpi1.49.0 0.1.14-2
libboost-program-options1.49.0 0.1.14-2
libboost-python1.49.0 0.1.14-2
libboost-random1.49.0 0.1.14-2
libboost-regex1.49.0 0.1.14-2
libboost-serialization1.49.0 0.1.14-2
libboost-signals1.49.0 0.1.14-2
libboost-system1.49.0 0.1.14-2
libboost-test1.49.0 0.1.14-2
libboost-thread1.49.0 0.1.14-2
libboost-timer1.49.0 0.1.14-2
libboost-wave1.49.0 0.1.14-2
libbotan-1.10-0 1.10.5-1ubuntu1
libbox2d0 1.10.5-1ubuntu1
libbpp-core2 2.1.0-1
libbpp-phyl9 2.1.0-1
libbpp-popgen6 2.1.0-1
libbpp-qt1 2.1.0-1
libbpp-raa1 2.1.0-1
libbpp-seq9 2.1.0-1
libbrahe-1.3-3 1.3.2-4
libbrasero-media3-1 3.10.0-0ubuntu1
libbrlapi0.5 3.10.0-0ubuntu1
libbs2b0 3.1.0+dfsg-2ubuntu2
libbsd0 0.6.0-2ubuntu1
libbse-0.7-4 0.7.8-1
libbt0 0.70.1-20ubuntu2
libbtf1.1.0 0.70.1-20ubuntu2
libbtparse1 0.66-2
libbulletml0d2 0.0.6-6
libburn4 1.3.4-0ubuntu1
libbuzztard0 0.6.0-1.1
libbz2-1.0 1.0.6-5
libc-ares2 1.10.0-2
libc-bin 2.19-0ubuntu6.6
libc-client2007e 8:2007f~dfsg-2
libc0.1 8:2007f~dfsg-2
libc0.1 8:2007f~dfsg-2
libc0.1-i386 8:2007f~dfsg-2
libc0.1-i686 8:2007f~dfsg-2
libc6 2.19-0ubuntu6.6
libc6 2.19-0ubuntu6.6
libc6-amd64 2.19-0ubuntu6.6
libc6-i386 2.19-0ubuntu6.6
libc6-i686 2.19-0ubuntu6.6
libc6-loongson2f 2.19-0ubuntu6.6
libc6-ppc64 2.19-0ubuntu6.6
libc6-s390 2.19-0ubuntu6.6
libc6-s390x 2.19-0ubuntu6.6
libc6-sparc64 2.19-0ubuntu6.6
libc6-xen 2.19-0ubuntu6.6
libc6.1 2.19-0ubuntu6.6
libc6.1 2.19-0ubuntu6.6
libcaca0 0.99.beta18-1ubuntu5
libcairo-gobject2 1.13.0~20140204-0ubuntu1.1
libcairo-script-interpreter2 1.13.0~20140204-0ubuntu1.1
libcairo2 1.13.0~20140204-0ubuntu1.1
