aa3d 1.0-8
tgif 1:4.2.5-1.2
themonospot 0.7.3.1-6
thuban 1.2.2-5
tintii 2.8.2-1
tioga 1.17-2
transfig 1:3.2.5.e-1ubuntu1
trimage 1.0.5-1
ttv 3.103-3
tulip 4.4.0dfsg2-2
tupi 0.2+git02-3build1
tupi-data 0.2+git02-3build1
tuxpaint 1:0.9.21-1.1ubuntu1
tuxpaint-config 0.0.12-3
tuxpaint-data 1:0.9.21-1.1ubuntu1
tuxpaint-plugins-default 1:0.9.21-1.1ubuntu1
tuxpaint-stamps-default 2009.06.28-1
ufraw 0.19.2-2ubuntu2
ufraw-batch 0.19.2-2ubuntu2
unpaper 0.4.2-1
uvccapture 0.5-3
v4l2loopback-source 0.8.0-1
v4l2loopback-utils 0.8.0-1
vgrabbj 0.9.8-3
vlc 2.1.6-0ubuntu14.04.1
vlc-data 2.1.6-0ubuntu14.04.1
vlc-dbg 2.1.6-0ubuntu14.04.1
vlc-plugin-jack 2.1.6-0ubuntu14.04.1
vlc-plugin-pulse 2.1.6-0ubuntu14.04.1
vlc-plugin-sdl 2.1.6-0ubuntu14.04.1
vtk-examples 5.8.0-14.1ubuntu3
vtkdata 5.8.0-1
webp 0.4.0-4
whitedune 0.30.10-1.3
wings3d 0.30.10-1.3
x264 2:0.142.2389+git956c8d8-2
xaos 3.5+ds1-1ubuntu3
xcftools 1.0.7-4ubuntu1
xfig 1:3.2.5.c-1ubuntu1
xfig-libs 1:3.2.5.c-1ubuntu1
xfractint 20.4.10-2
xli 1.17.0+20061110-4
xloadimage 4.1-22
xmedcon 0.13.0-2
xmorph 1:20090926
xpaint 2.9.1.4-3ubuntu1
xplanet 1.3.0-1
xplanet-images 1.3.0-1
xsane 0.998-5ubuntu1
xsane-common 0.998-5ubuntu1
xzgv 0.9.1-3
yafaray 0.1.5-3build1
yafaray-exporter 0.1.2+really0.1.2~beta5-3
yagf 0.9.2.1-1
zbar-tools 0.10+doc-9build1
zgv 0.10+doc-9build1
zoomer 0.1-1.1
