aglfn 1.7-3
fonts-yozvox-yozfont-antique 13.09-dfsg-5
fonts-yozvox-yozfont-cute 13.09-dfsg-5
fonts-yozvox-yozfont-edu 13.09-dfsg-5
fonts-yozvox-yozfont-new-kana 13.09-dfsg-5
fonts-yozvox-yozfont-standard-kana 13.09-dfsg-5
fonttools 2.4-1
fonttools-eexecop 2.4-1
fonty-rg 0.5
fontypython 0.4.4-1
googlefontdirectory-tools 20120309.1-1
gsfonts 1:8.11+urwcyr1.0.7~pre44-4.2ubuntu1
gsfonts-other 6.0-4ubuntu1
gsfonts-x11 0.22
jsmath-fonts 1.3-2ubuntu2
latex-cjk-chinese-arphic-bkai00mp 1.23
latex-cjk-japanese-wadalab 0.20050817-16
latex-fonts-sipa-arundina 0.2.0-7
latex-fonts-thai-tlwg 1:0.5.1-3
lmodern 2.004.4-3
mathematica-fonts 16
mensis 0.0.080507-4
ming-fonts-dejavu 1:0.4.5-1ubuntu5
ming-fonts-opensymbol 1:0.4.5-1ubuntu5
open-font-design-toolkit 1.5
otf-stix 1.1.0-1
otf-stix 1.1.0-1
otf-symbols-circos 0.64-1
otf-symbols-circos 0.64-1
sortsmill-tools 0.4-2
t1-cyrillic 4.16+nmu1
t1-oldslavic 4.16+nmu1
t1-teams 4.16+nmu1
t1-xfree86-nonfree 4.2.1-3.1ubuntu1
tex-gyre 2.004.2-4
texlive-fonts-extra 2013.20140215-2
texlive-fonts-recommended 2013.20140215-1
texmacs-extra-fonts 0.2
toilet-fonts 0.3-1
ttf-adf-accanthis 0.20090423-2
ttf-adf-baskervald 0.20090423-2
ttf-adf-berenis 0.20090423-2
ttf-adf-gillius 0.20090423-2
ttf-adf-ikarius 0.20090423-2
ttf-adf-irianis 0.20090423-2
ttf-adf-libris 0.20090423-2
ttf-adf-mekanus 0.20090423-2
ttf-adf-oldania 0.20090423-2
ttf-adf-romande 0.20090423-2
ttf-adf-switzera 0.20090423-2
ttf-adf-tribun 0.20090423-2
ttf-adf-universalis 0.20090423-2
ttf-adf-verana 0.20090423-2
ttf-aenigma 0.0.20080510.dfsg-2
ttf-alee 13
ttf-ancient-fonts 2.57-1
ttf-anonymous-pro 1.002-1
ttf-atarismall 2.1-4ubuntu1
ttf-bengali-fonts 1:0.5.14ubuntu1
ttf-beteckna 0.4-5ubuntu1
ttf-beteckna 0.4-5ubuntu1
ttf-bitstream-vera 1.10-8
ttf-century-catalogue 1.10-8
ttf-dejavu 2.34-1ubuntu1
ttf-dejavu-core 2.34-1ubuntu1
ttf-dejavu-extra 2.34-1ubuntu1
ttf-denemo 1.1.0-1ubuntu1
ttf-devanagari-fonts 1:0.5.14ubuntu1
ttf-dzongkha 1:0.5.14ubuntu1
ttf-dzongkha 1:0.5.14ubuntu1
ttf-ecolier-court 1:0.5.14ubuntu1
ttf-ecolier-court 1:0.5.14ubuntu1
ttf-engadget 1.001-1-1
ttf-essays1743 1.0-4.1
ttf-f500 1.0-4.1
ttf-f500 1.0-4.1
ttf-farsiweb 1.0-4.1
ttf-farsiweb 1.0-4.1
ttf-femkeklaver 1.0-1
ttf-fifthhorseman-dkg-handwriting 0.15-1
ttf-fifthhorseman-dkg-handwriting 0.15-1
ttf-freefarsi 1.0.0~beta1-7
ttf-georgewilliams 1.0-5ubuntu1
ttf-gfs-gazis 1.0-5ubuntu1
ttf-gfs-gazis 1.0-5ubuntu1
ttf-goudybookletter 2010.07.03-1ubuntu1
ttf-gujarati-fonts 1:0.5.14ubuntu1
ttf-indic-fonts 1:0.5.14ubuntu1
ttf-isabella 1.202-1
ttf-jsmath 0.090709+0-3
ttf-kannada-fonts 1:0.5.14ubuntu1
ttf-kochi-gothic 20030809-15
ttf-kochi-gothic 20030809-15
ttf-kochi-gothic-naga10 20030809-15
ttf-kochi-mincho 20030809-15
ttf-kochi-mincho 20030809-15
ttf-kochi-mincho-naga10 20030809-15
ttf-lao 20030809-15
ttf-levien-museum 20030809-15
ttf-levien-museum 20030809-15
ttf-malayalam-fonts 1:0.5.14ubuntu1
ttf-marvosym 0.1+dfsg-2
ttf-mathematica4.1 16
ttf-mathematica4.1 16
ttf-mona 2.90-7
ttf-mscorefonts-installer 3.4+nmu1ubuntu1
ttf-nafees 3.4+nmu1ubuntu1
ttf-nafees 3.4+nmu1ubuntu1
ttf-nanum-coding 3.4+nmu1ubuntu1
ttf-ocr-a 3.4+nmu1ubuntu1
ttf-ocr-a 3.4+nmu1ubuntu1
ttf-oflb-euterpe 3.4+nmu1ubuntu1
ttf-oflb-euterpe 3.4+nmu1ubuntu1
ttf-okolaks 3.4+nmu1ubuntu1
ttf-okolaks 3.4+nmu1ubuntu1
ttf-oriya-fonts 1:0.5.14ubuntu1
ttf-punjabi-fonts 1:0.5.14ubuntu1
ttf-radisnoir 0.9b-2ubuntu1
ttf-root-installer 5.34.14-1build1
ttf-rufscript 5.34.14-1build1
ttf-sazanami-gothic 5.34.14-1build1
ttf-sazanami-mincho 5.34.14-1build1
ttf-sil-galatia 5.34.14-1build1
ttf-sil-galatia 5.34.14-1build1
ttf-sil-gentium 5.34.14-1build1
ttf-sil-gentium 5.34.14-1build1
ttf-sil-gentium-basic 5.34.14-1build1
ttf-sil-gentium-basic 5.34.14-1build1
ttf-sil-nuosusil 2.1.1-7
ttf-sil-nuosusil 2.1.1-7
ttf-sil-scheherazade 1.001-8
ttf-sil-scheherazade 1.001-8
ttf-sil-yi 2.1.1-7
ttf-sjfonts 2.0.2-1.1ubuntu1
ttf-staypuft 0.04-6ubuntu1
ttf-summersby 1.007-3.1
ttf-tagbanwa 1.005
ttf-tamil-fonts 1:0.5.14ubuntu1
ttf-telugu-fonts 1:0.5.14ubuntu1
ttf-tiresias 0.1-2ubuntu1
ttf-tuffy 20120614-1
ttf-tuffy 20120614-1
ttf-unifont 1:6.3.20131221-1
ttf-wqy-zenhei 0.9.45-5ubuntu1
ttf-xfree86-nonfree 4.2.1-3.1ubuntu1
ttf-xfree86-nonfree-syriac 4.2.1-3.1ubuntu1
ttfautohint 0.97-1
tv-fonts 1.1-8
unifont 1:6.3.20131221-1
xfonts-100dpi 1:1.0.3
xfonts-100dpi-transcoded 1:1.0.3
xfonts-75dpi 1:1.0.3
xfonts-75dpi-transcoded 1:1.0.3
xfonts-a12k12 1-11
xfonts-ayu 1.7+0a+0debian1-2.1
xfonts-baekmuk 2.2-6
xfonts-base 1:1.0.3
xfonts-bitmap-mule 8.5+0.20030825.0433-14
xfonts-biznet-100dpi 3.0.0-23
xfonts-biznet-75dpi 3.0.0-23
xfonts-biznet-base 3.0.0-23
xfonts-bolkhov-75dpi 1.1.20001007-7
xfonts-bolkhov-cp1251-75dpi 1.1.20001007-7
xfonts-bolkhov-cp1251-misc 1.1.20001007-7
xfonts-bolkhov-isocyr-75dpi 1.1.20001007-7
xfonts-bolkhov-isocyr-misc 1.1.20001007-7
xfonts-bolkhov-koi8r-75dpi 1.1.20001007-7
xfonts-bolkhov-koi8r-misc 1.1.20001007-7
xfonts-bolkhov-koi8u-75dpi 1.1.20001007-7
xfonts-bolkhov-koi8u-misc 1.1.20001007-7
xfonts-bolkhov-misc 1.1.20001007-7
xfonts-cronyx-100dpi 2.3.8-6ubuntu3
xfonts-cronyx-75dpi 2.3.8-6ubuntu3
xfonts-cronyx-cp1251-100dpi 2.3.8-6ubuntu3
xfonts-cronyx-cp1251-75dpi 2.3.8-6ubuntu3
xfonts-cronyx-cp1251-misc 2.3.8-6ubuntu3
xfonts-cronyx-isocyr-100dpi 2.3.8-6ubuntu3
xfonts-cronyx-isocyr-75dpi 2.3.8-6ubuntu3
xfonts-cronyx-isocyr-misc 2.3.8-6ubuntu3
xfonts-cronyx-koi8r-100dpi 2.3.8-6ubuntu3
xfonts-cronyx-koi8r-75dpi 2.3.8-6ubuntu3
xfonts-cronyx-koi8r-misc 2.3.8-6ubuntu3
xfonts-cronyx-koi8u-100dpi 2.3.8-6ubuntu3
xfonts-cronyx-koi8u-75dpi 2.3.8-6ubuntu3
xfonts-cronyx-koi8u-misc 2.3.8-6ubuntu3
xfonts-cronyx-misc 2.3.8-6ubuntu3
xfonts-cyrillic 1:1.0.3
xfonts-efont-unicode 0.4.2-6
xfonts-efont-unicode-ib 0.4.2-6
xfonts-encodings 1:1.0.4-1ubuntu1
xfonts-intl-arabic 1.2.1-8
xfonts-intl-asian 1.2.1-8
xfonts-intl-chinese 1.2.1-8
xfonts-intl-chinese-big 1.2.1-8
xfonts-intl-european 1.2.1-8
xfonts-intl-japanese 1.2.1-8
xfonts-intl-japanese-big 1.2.1-8
xfonts-intl-phonetic 1.2.1-8
xfonts-jisx0213 0+20040511-4
xfonts-jmk 3.0-20
xfonts-kaname 1.1-9.1
xfonts-kapl 4.22.1-6
xfonts-kappa20 0.396-3build1
xfonts-marumoji 0.2-10
xfonts-mathml 6ubuntu1
xfonts-mona 2.90-7
xfonts-mplus 2.2.4-1
xfonts-naga10 1.1-13.1
xfonts-nexus 0.0.2-16
xfonts-scalable 1:1.0.3-1
xfonts-shinonome 5-1.1
xfonts-terminus 4.38-1fakesync1
xfonts-terminus-dos 4.38-1fakesync1
xfonts-terminus-oblique 4.38-1fakesync1
xfonts-thai 1:1.2.6-2
xfonts-thai-etl 1:1.2.6-2
xfonts-thai-manop 1:1.2.6-2
xfonts-thai-nectec 1:1.2.6-2
xfonts-thai-poonlap 1:1.2.6-2
xfonts-thai-vor 1:1.2.6-2
xfonts-tipa 2:1.3-19
xfonts-unifont 1:6.3.20131221-1
xfonts-wqy 0.9.9-8
xfonts-x3270-misc 3.3.10ga4-2build2
xgridfit 2.3-1
