3depict 0.0.15-3
oar-restful-api 2.5.2-4.1
oar-server 2.5.2-4.1
oar-server-mysql 2.5.2-4.1
oar-server-pgsql 2.5.2-4.1
oar-user 2.5.2-4.1
oar-user-mysql 2.5.2-4.1
oar-user-pgsql 2.5.2-4.1
oar-web-status 2.5.2-4.1
oasis3 3.3.beta.dfsg.1-8build2
oasis3-examples 3.3.beta.dfsg.1-8build2
obdgpslogger 0.16-1.2
objcryst-fox 1.9.6.0-2
oce-draw 0.15-4
octave-biosig 1.3.0-2build2
octave-gdf 0.1.2-2build3
octave-lhapdf 5.9.1-3build1
octave-psychtoolbox-3 3.0.11.20131230.dfsg1-1build1
odin 1.8.5-2ubuntu1
ogdi-bin 3.2.0~beta2-7ubuntu1
openbabel 2.3.2+dfsg-1.1
openbabel-gui 2.3.2+dfsg-1.1
openmeeg-tools 2.0.0.dfsg-5.1ubuntu1
openmx 3.7.6-1
openrocket 13.11.1
openturns-examples 1.2-2
openturns-validation 1.2-2
openuniverse 1.0beta3.1+dfsg-3
openuniverse-common 1.0beta3.1+dfsg-3
openwalnut-modules 1.0beta3.1+dfsg-3
openwalnut-qt4 1.0beta3.1+dfsg-3
opj2dat 20080225-2.1
optgeo 2.21-1
opticalraytracer 3.2-1.1ubuntu1
origami 0.7.4-1
ossim-core 1.7.21-4
otf-trace 1.12.4+dfsg-3build1
ovito 0.9.5-3
paje.app 1.98-1build1
paml 4.7-1
paraview 4.0.1-1ubuntu1
paw 1:2.14.04.dfsg.2-9
paw++ 1:2.14.04.dfsg.2-9
paw-common 1:2.14.04.dfsg.2-9
paw-demos 1:2.14.04.dfsg.2-9
pdb2pqr 1.8+dfsg-1
pegasus-wms 4.0.1+dfsg-8
perlprimer 1.1.21-2
phy-spread 1.1.21-2
phylip 1:3.695-1
phyml 2:20120412-2
picard-tools 1.105-1
picosat 954-1
planets 0.1.13-14build1
plastimatch 1.5.15+dfsg-1build1
plink 1.07-3
poa 2.0+20060928-3
populations 1.2.33+svn0120106-2.1
pp-popularity-contest 1.0.6-1ubuntu1
praat 5.3.16-1ubuntu2
primer3 2.3.6-1
probalign 1.4-3
probcons 1.12-9
probcons-extra 1.12-9
proda 1.0-8
profnet-bval 1.0.22-1
profnet-chop 1.0.22-1
profnet-con 1.0.22-1
profnet-isis 1.0.22-1
profnet-md 1.0.22-1
profnet-norsnet 1.0.22-1
profnet-prof 1.0.22-1
profnet-snapfun 1.0.22-1
profphd 1.0.40-1
profphd-net 1.0.22-1
profphd-utils 1.0.10-1
proftmb 1.1.12-1
proj-bin 4.8.0-2ubuntu2
psi3 3.4.0-5
psychopy 1.79.00+git16-g30c9343.dfsg-1
psychtoolbox-3-common 3.0.11.20131230.dfsg1-1build1
psychtoolbox-3-lib 3.0.11.20131230.dfsg1-1build1
pyfai 0.3.5-1
pyformex 0.8.6-4ubuntu3
pyformex-lib 0.8.6-4ubuntu3
pymca 4.7.1+dfsg-2
pymca-data 4.7.1+dfsg-2
pymol 1.7.0.0-1
pythia8-data 8.1.80-1
qfits-tools 6.2.0-6
qgis 2.0.1-2build2
qgis-api-doc 2.0.1-2build2
qgis-common 2.0.1-2build2
qgis-mapserver 2.0.1-2build2
qgis-plugin-grass 2.0.1-2build2
qgis-plugin-grass-common 2.0.1-2build2
qgis-providers 2.0.1-2build2
qgis-providers-common 2.0.1-2build2
qgis-sqlanywhere1.7.5 2.0.1-2build2
qiime 1.8.0+dfsg-2
qmc 0.94-3build2
qthid-fcd-controller 4.1-3
quantum-espresso 5.0.2-5build1
quantum-espresso-data 5.0.2-5build1
qutemol 0.4.1~cvs20081111-3build1
raccoon 1.0b-1
rasmol 2.7.5.2-2
raster3d 3.0-2-5
raxml 7.2.8-2
rdkit-data 201309-1
readseq 1-11
reprof 1.0.1-1
rivet 1.8.3-1.1
rivet-plugins 1.8.3-1.1
rivet-plugins-data 1.8.3-1.1
rivet-plugins-dev 1.8.3-1.1
rivet-root-converter 1.8.3-1.1
rnahybrid 2.1.1-2
robot-player 3.0.2+dfsg-4.1ubuntu3
robot-player-dev 3.0.2+dfsg-4.1ubuntu3
root-plugin-geom-gdml 5.34.14-1build1
root-plugin-geom-geombuilder 5.34.14-1build1
root-plugin-geom-geompainter 5.34.14-1build1
root-plugin-graf2d-asimage 5.34.14-1build1
root-plugin-graf2d-qt 5.34.14-1build1
root-plugin-graf2d-x11 5.34.14-1build1
root-plugin-graf3d-x3d 5.34.14-1build1
root-plugin-gui-fitpanel 5.34.14-1build1
root-plugin-gui-guibuilder 5.34.14-1build1
root-plugin-gui-qt 5.34.14-1build1
root-plugin-gui-sessionviewer 5.34.14-1build1
root-plugin-hist-hbook 5.34.14-1build1
root-plugin-hist-histpainter 5.34.14-1build1
root-plugin-hist-spectrumpainter 5.34.14-1build1
root-plugin-io-sql 5.34.14-1build1
root-plugin-io-xml 5.34.14-1build1
root-plugin-math-fftw3 5.34.14-1build1
root-plugin-math-fumili 5.34.14-1build1
root-plugin-math-minuit2 5.34.14-1build1
root-plugin-montecarlo-pythia8 5.34.14-1build1
root-plugin-net-globus 5.34.14-1build1
root-plugin-net-krb5 5.34.14-1build1
root-plugin-proof-peac 5.34.14-1build1
root-plugin-sql-mysql 5.34.14-1build1
root-plugin-sql-odbc 5.34.14-1build1
root-plugin-sql-pgsql 5.34.14-1build1
root-plugin-tree-treeviewer 5.34.14-1build1
root-system 5.34.14-1build1
root-system-bin 5.34.14-1build1
root-system-common 5.34.14-1build1
root-system-proofd 5.34.14-1build1
root-system-rootd 5.34.14-1build1
saint 2.3.4+dfsg-2
samtools 0.1.19-1
saods9 7.2+dfsg-4
saods9-blt 7.2+dfsg-4
saods9-data 7.2+dfsg-4
sat4j 2.3.2-1
savi 1.4.6-1
science-astronomy 1.0ubuntu1
science-astronomy-dev 1.0ubuntu1
