afnix 2.2.0-2ubuntu1
lua-copas 1.2.0-1
lua-cosmo 13.01.30-2
lua-coxpcall 1.14.0-2
lua-curl 0.3.0-7
lua-curses 29-7ubuntu1
lua-cyrussasl 1.0.0-5
lua-dbi-common 0.5.hg5ba1dd988961-2
lua-dbi-mysql 0.5.hg5ba1dd988961-2
lua-dbi-postgresql 0.5.hg5ba1dd988961-2
lua-dbi-sqlite3 0.5.hg5ba1dd988961-2
lua-doc 3.0.1+gitdb9e868-1
lua-event 0.4.3-1
lua-expat 1.2.0-6
lua-filesystem 1.6.2-1
lua-iconv 7-2
lua-iconv-dev 7-2
lua-json 1.3-1
lua-ldap 1.1.0-1-geeac494-5
lua-leg 0.1.3-1
lua-lgi 0.7.2-1
lua-logging 1.3.0-1
lua-lpeg 0.12-1
lua-markdown 0.32-5
lua-md5 1.2+git+1+8d87fee-1
lua-orbit 2.2.1+dfsg-1
lua-penlight 1.2.1-1
lua-posix 29-7ubuntu1
lua-rex-onig 2.7.2-2
lua-rex-pcre 2.7.2-2
lua-rex-posix 2.7.2-2
lua-rex-tre 2.7.2-2
lua-rings 1.3.0-2
lua-sec 0.5-1
lua-soap 3.0+git91419a7-1
lua-socket 3.0~rc1-3
lua-sql-mysql 2.3.0-3
lua-sql-postgres 2.3.0-3
lua-sql-sqlite3 2.3.0-3
lua-svn 0.4.0-9
lua-wsapi 1.6.0-1
lua-wsapi-fcgi 1.6.0-1
lua-xmlrpc 1.2.1-6
lua-zip 1.2.3-12
lua-zlib 0.2+git+1+9622739-1
lua5.1 5.1.5-5ubuntu0.1
lua5.2 5.2.3-1
lua50 5.0.3-7
luadoc 3.0.1+gitdb9e868-1
luarocks 2.0.9-1
m4 1.4.17-2ubuntu1
mawk 1.3.3-17ubuntu2
mono-devel 3.2.8+dfsg-4ubuntu1.1
mono-runtime 3.2.8+dfsg-4ubuntu1.1
neko 2.0.0-3
newt-tcl 0.52.15-2ubuntu5
nickle 2.77-1
nqp 2013.12.1-1
openjdk-6-jre 6b34-1.13.6-1ubuntu0.14.04.1
openjdk-6-jre-headless 6b34-1.13.6-1ubuntu0.14.04.1
openjdk-6-jre-lib 6b34-1.13.6-1ubuntu0.14.04.1
original-awk 2012-12-20-1
parrot 5.9.0-1build1
parrot-minimal 5.9.0-1build1
pforth 21-12
polyml 5.2.1-1.1
rakudo 2013.12-1
regina-rexx 3.6-2
rep-gtk 1:0.90.0-2.2
rep-gtk-gnome 1:0.90.0-2.2
rhino 1.7R4-2
ri1.8 1.7R4-2
ruby1.8 1.7R4-2
ruby1.8-examples 1.7R4-2
sdlbrt 0.0.20070714-5
seed 3.8.1-1
shoes 3.8.1-1
sisc 1.16.6-1.1
slang-cfitsio 0.3.8+nosvn-4.1
slang-curl 0.2.1-4.2
slang-expat 0.5.0-2
slang-gdbm 1.7.1-4
slang-gsl 0.7.0-5.1
slang-histogram 0.3.2a-3.1
slang-pvm 0.1.5-12.1
slang-sqlite 0.4.0-3.1
slang-tess 0.3.0-6
slang-wildcard 0.5.0-2
slsh 2.2.4-15ubuntu1
spidermonkey-bin 2.2.4-15ubuntu1
squeak-vm 1:4.10.2.2614-1ubuntu2
swi-prolog 6.6.4-2ubuntu1
