python-dev 2.7.5-5ubuntu3
python-dexml 0.5.1-1
python-dhm 0.6-3build1
python-dialog 2.7-1
python-dicoclient 2.2-5
python-dicom 0.9.7-1.1ubuntu1
python-dictclient 1.0.3.1+nmu1build1
python-dictdlib 2.0.4.1+nmu1build1
python-dingus 0.3.4-1
python-dipy 0.5.0-3
python-dipy-lib 0.5.0-3
python-distro-info 0.12
python-distutils-extra 2.38-1build1
python-django 1.6.1-2ubuntu0.8
python-django-adminaudit 0.3.2-1
python-django-app-plugins 0.1.1-1
python-django-auth-ldap 1.1.8-1
python-django-auth-openid 0.5-2
python-django-authority 0.5-1
python-django-celery 2.5.5-2
python-django-classy-tags 0.3.4.1-1
python-django-contact-form 0+hg61-2
python-django-countries 1.5-1
python-django-dajax 0.9.2-1
python-django-dajaxice 0.6-1
python-django-debug-toolbar 1:1.0.1-0+nmu1
python-django-djapian 2.3.1-3
python-django-evolution 0.6.7-1
python-django-extdirect 0.9-1
python-django-extra-views 0.2.4-2
python-django-feincms 1.7.4-1ubuntu1
python-django-floppyforms 1.1.1-1
python-django-formfieldset 0+git20090520-621cb58-1
python-django-genshi 1.1.3-4build1
python-django-horizon 1:2014.1.4-0ubuntu2
python-django-lint 0.13-2
python-django-localeurl 1.5-3
python-django-markupfield 1.2.0-1
python-django-mptt 0.6.0-1
python-django-mumble 2.10-2
python-django-nose 1.2-1
python-django-notification 0.1.5-2
python-django-pagination 1.0.5-2
python-django-picklefield 0.3.1-1
python-django-registration 1.0-1
python-django-reversion 1.8-2
python-django-rosetta 0.7.2-1
python-django-sekizai 0.5.0-1
python-django-shorturls 1.0.1-3
python-django-social-auth 0.7.23-1
python-django-south 0.7.5-1.1build1
python-django-tagging 1:0.3.1-3
python-django-threaded-multihost 1.3.2-2
python-django-threadedcomments 0.9.0-1
python-django-tinymce 1.5-3
python-django-treebeard 2.0~beta1-2
python-django-uwsgi-admin 2.0~beta1-2
python-django-voting 0.2-1
python-django-websocket 0.3.0-3
python-djvu 0.3.9-1
python-dkim 0.5.4-1
python-dmidecode 3.10.13-3
python-dns 2.3.6-3
python-dnspython 1.11.1-1build1
python-docutils 0.11-3
python-dolfin 1.3.0+dfsg-2
python-dpkt 1.6+svn54-1
python-dpm 1.8.7-3
python-drizzle 1.8.7-3
python-drmaa 0.5-1
python-drslib 0.3.0a3-5
python-dsv 1.4.1-2
python-dulwich 0.9.4-1
python-dumbnet 1.12-4build1
python-easygui 0.96-3
python-easyzone 1.2.2-1
python-ecasound 2.9.1-3
python-ecryptfs 104-0ubuntu1.14.04.3
python-edbus 0.7.3-1ubuntu1
python-editobj 0.5.7-9
python-egenix-mx-base-dev 3.2.7-1build1
python-egenix-mxbeebase 3.2.7-1build1
python-egenix-mxdatetime 3.2.7-1build1
python-egenix-mxproxy 3.2.7-1build1
python-egenix-mxqueue 3.2.7-1build1
python-egenix-mxstack 3.2.7-1build1
python-egenix-mxtexttools 3.2.7-1build1
python-egenix-mxtools 3.2.7-1build1
python-egenix-mxuid 3.2.7-1build1
python-egenix-mxurl 3.2.7-1build1
python-eggtrayicon 3.2.7-1build1
python-elements 0.13+svn20090823.230+dfsg-2build1
python-elementtidy 1.0-7build2
python-elib.intl 0.0.3~git20110809-2
python-elixir 0.7.1-2
python-empy 3.3-8
python-enable 4.1.0-1ubuntu3
python-enchant 1.6.5-2build1
python-enet 0.0~svn24-1build1
python-enthoughtbase 3.1.0-2build1
python-enum 0.4.4-2
python-envisage 4.1.0-2
python-envisagecore 4.1.0-2
python-envisageplugins 4.1.0-2
python-epr 0.8.1-1build2
python-epsilon 0.6.0+r2713-2
python-epydoc 3.0.1+dfsg-4
python-espeak 0.5-1build1
python-ethos 0.5-1build1
python-ethtool 0.7-1.1
python-etk.docking 0.2-1
python-eventlet 0.13.0-1ubuntu2
python-evolution 0.13.0-1ubuntu2
python-exactimage 0.8.9-3build1
python-examples 2.7.5-5ubuntu3
python-excelerator 0.6.4.1-2
python-execnet 1.0.9-0.1
python-exif 1.1.0-1
python-expeyes 3.1.5-2
python-extractor 1:0.6-4ubuntu1
python-fabio 0.1.3-3
python-facebook 0.svn20100209-3build1
python-factory-boy 2.0.2-1
python-farstream 0.1.2-1ubuntu3
python-fastimport 0.9.2-1
python-faulthandler 2.0-1
python-fdsend 0.2.1-2
python-feedparser 5.1.3-2
python-feedvalidator 0~svn1022-2
python-ferari 1.0.0-1
python-ffc 1.3.0-2
python-fftw 0.2.2-1
python-fiat 1.3.0-1
python-fibranet 10-3.1
python-fife 0.3.5-1
python-fiu 0.92-1build2
python-fixtures 0.3.14-1ubuntu2
python-flask 0.10.1-2build1
python-flaskext.wtf 0.6-1
python-flexmock 0.9.7-1
python-flickrapi 1.2-3
python-fltk 1.3.0-1
python-flufl.bounce 2.2.1-1
