bundler 1.3.5-2ubuntu1
ruby-i18n 0.6.9-1
ruby-ihelp 0.6.9-1
ruby-image-science 1.2.2-1.1
ruby-imagesize 1:0.1.1-5
ruby-indentation 0.1.1-1
ruby-inline 3.12.2-2
ruby-innate 2013.02.21-1
ruby-inotify 0.0.2-7
ruby-instantiator 0.0.6+git9cbbe70-2
ruby-introspection 0.0.2-2
ruby-ipaddress 0.8.0-2
ruby-journey 1.0.4-1
ruby-jquery-rails 2.0.2-1
ruby-json 1.8.0-1build1
ruby-kakasi 1.8.0-1build1
ruby-kde4 4:4.13.0-0ubuntu1
ruby-kgio 2.8.1-1
ruby-kramdown 1.2.0-1
ruby-krb5-auth 1.2.0-1
ruby-lapack 1.5-2
ruby-ldap 0.9.16-1
ruby-libvirt 0.5.1-1
ruby-libxml 2.7.0-2
ruby-liquid 2.6.1-1
ruby-locale 2.1.0-2
ruby-locale-rails 2.0.5-7
ruby-lockfile 2.1.0-4
ruby-log4r 1.1.10-3
ruby-mab 0.0.3-1
ruby-magic 0.2.6-2
ruby-mail 2.5.4-2
ruby-maruku 0.6.0-2
ruby-mathml 0.14-2
ruby-mecab 0.99.6-2
ruby-mechanize 2.7.2-1
ruby-memcache-client 1.8.5-3
ruby-merb-assets 1.1.3-2
ruby-merb-core 1.1.3+dfsg-2
ruby-merb-haml 1.1.3-2
ruby-merb-helpers 1.1.3-1
ruby-merb-param-protection 1.1.3-2
ruby-metaclass 0.0.1-2
ruby-metaid 1.0-8
ruby-method-source 0.8.2-1
ruby-mime-types 1.25-1
ruby-minitest 5.2.1-1
ruby-mixlib-authentication 1.3.0-1
ruby-mixlib-cli 1.4.0-1
ruby-mixlib-config 2.1.0-1
ruby-mixlib-log 1.4.1-1
ruby-mixlib-shellout 1.3.0-1
ruby-mkrf 0.2.3+dfsg-5
ruby-mocha 0.14.0-2ubuntu1
ruby-moneta 0.7.16-1
ruby-mp3tag 1.0-12
ruby-msgpack 0.5.5-2
ruby-multi-json 1.8.0-1
ruby-multibitnums 0.1.4-2
ruby-mustache 0.99.4-4
ruby-mysql 2.8.2+gem2deb-4
ruby-narray 0.6.0.1-4
ruby-narray-miss 1.2.8-2
ruby-ncurses 1.4.4+dfsg-1
ruby-net-http-digest-auth 1.4-1
ruby-net-http-persistent 2.9-1
ruby-net-irc 0.0.9-2
ruby-net-ldap 0.3.1-3
ruby-net-netrc 0.2.2-2
ruby-net-scp 1.1.1-1
ruby-net-sftp 1:2.1.2-1
ruby-net-ssh 1:2.6.8-1
ruby-net-ssh-gateway 1.2.0-1
ruby-net-ssh-multi 1.2.0-1
ruby-netcdf 0.6.6-2
ruby-nokogiri 1.6.1+ds-1
ruby-nora 1.6.1+ds-1
ruby-ntlm 0.3.4-1
ruby-oauth 0.4.7-1
ruby-odbc 0.99995-1
ruby-ogginfo 0.6.12-1ubuntu1
