9menu 1.8-6
moblin-cursor-theme 0.3-3
moblin-icon-theme 0.10.0-1
moblin-sound-theme 0.3-1
motif-clients 2.3.4-5
mpeg2dec 0.5.1-5ubuntu1
mrxvt 0.5.4-1.1
mrxvt-cjk 0.5.4-1.1
mrxvt-common 0.5.4-1.1
mrxvt-mini 0.5.4-1.1
murrine-themes 0.98.6ubuntu1
mutter 3.10.4-0ubuntu2.1
nabi 1.0.0-1
nitrogen 1.5.2-2
nlkt 0.3.2.2-1
notebook-gtk2 0.2rel-2.2
notification-daemon 0.7.6-1
notification-daemon 0.7.6-1
notify-osd 0.9.35+14.04.20140213-0ubuntu1
notion 3+2012042300-1
numlockx 1.2-5
nuvola-icon-theme 4:4.13.3-0ubuntu0.1
nvclock 0.8b4+cvs20100914-5
nvclock-gtk 0.8b4+cvs20100914-5
nvclock-qt 0.8b4+cvs20100914-5
nvidia-detect 0.8b4+cvs20100914-5
nvidia-glx 0.8b4+cvs20100914-5
nvidia-glx-legacy-173xx 0.8b4+cvs20100914-5
nvidia-glx-legacy-96xx 0.8b4+cvs20100914-5
nvidia-settings 346.59-0ubuntu1~ubuntu14.04.1
nvidia-settings 346.59-0ubuntu1~ubuntu14.04.1
nvidia-settings-legacy-173xx 346.59-0ubuntu1~ubuntu14.04.1
nvidia-xconfig 346.59-0ubuntu1~ubuntu14.04.1
nxproxy 3.5.0-1-0ubuntu1
obconf 1:2.0.4+git20130908-2
obmenu 1.0-2+nmu1
oboinus 2.3-1
odot 1.2.0-1
olvwm 4.4.3.2p1.4-28.1
olwm 3.2p1.4-28.1
openbox 3.5.2-6
openbox-themes 3.5.2-6
openlp 2.0.4-1
openvrml-lookat 2.0.4-1
oroborus 2.0.20
osdsh 0.7.0-10.1
osmo 0.2.10+svn937-1
oxygen-icon-theme 4:4.13.0-0ubuntu1
oxygencursors 4:4.13.0-0ubuntu1
password-gorilla 1.5.3.7-1
pauker 1.8+dfsg-5
pcf2bdf 1.04-4
pclock 1.04-4
pcmanx-gtk2 1.2-1
pdfshuffler 0.6.0-5
pekwm 0.1.17-1
pekwm-themes 1.0.5-3
perlpanel 1:0.9.1+cvs20051225-2ubuntu1
perroquet 1.1.1-3build1
pinot 1.05-1
pinpoint 1:0.1.5~20120318-1build3
plasmidomics 0.2.0-3
pngphoon 1.1-3
pondus 0.8.0-2
pspresent 1.3-4
pterm 0.63-4
pyntor 0.6-4
qbrew 0.4.1-3
qlandkartegt 1.7.5-2
qmf-examples 1.0.7~2011w23.2-2.1
qstardict 0.12.9-1.2
qt4-demos 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qt4-qtconfig 4:4.8.5+git192-g085f851+dfsg-2ubuntu4
qtemu 2.0~alpha1-1ubuntu5
qterm 1:0.5.12-1.1
qtmobility-examples 1.2.0-3ubuntu5
qwo 0.5-2.1
rabbit 2.1.1-2
rabbit-mode 2.1.1-2
ratmenu 2.3.20
ratpoison 1.4.6-1
rdesktop 1.7.1-1ubuntu2
recoll 1.17.3-2
redet 8.26-1.1
redshift 1.8-0ubuntu6
rhinote 0.7.4-2
ristretto 0.6.3-2ubuntu1
robojournal 0.4.2-1
root-tail 1.2-3ubuntu1
rox-filer 1:2.11-1
roxterm 2.8.1-1
roxterm-common 2.8.1-1
roxterm-gtk2 2.8.1-1
roxterm-gtk3 2.8.1-1
rss-glx 0.9.1-6ubuntu2
rubrica 2.0-1.3ubuntu1
rxvt 1:2.7.10-5
rxvt-beta 1:2.7.10-5
rxvt-ml 1:2.7.10-5
rxvt-unicode 9.19-1
rxvt-unicode 9.19-1
rxvt-unicode-256color 9.19-1
rxvt-unicode-lite 9.19-1
s3dx11gate 0.2.2-9
sakura 3.1.3-1
sapphire 0.15.8-9build1
sawfish 1:1.5.3-2.4
sawfish-data 1:1.5.3-2.4
sawfish-merlin-ugliness 1.3.1-1
sawfish-themes 0.13
scolasync 4.1-2
slim 1.3.4-2.1
smartdimmer 0.8b4+cvs20100914-5
spectrwm 1.0.0-1
spice-vdagent 0.14.0-1ubuntu1
squeeze 0.14.0-1ubuntu1
ssh-askpass-fullscreen 0.3-3.1
sshmenu 0.3-3.1
stalonetray 0.8.1-1
stopmotion 0.7.2-1
strigi-client 0.7.8-1ubuntu2
stterm 0.4.1+20130921+giteeae9b0-1
stumpwm 1:20110819.gitca08e08-2.1
subtle 0.11.3224-xi-1
suckless-tools 40-1
sucrose-0.96 0.96.1-2.1git1
sugar-artwork-0.84 0.96.1-2.1git1
sugar-artwork-0.88 0.96.1-2.1git1
sugar-artwork-0.96 0.96.2-2
sugar-calculate-activity 40-2
sugar-connect-activity 22-1.2
sugar-emulator-0.96 0.96.1-2.1git1
sugar-etoys-activity 116-3
sugar-irc-activity 8-1.2
sugar-memorize-activity 35-1.1
sugar-physics-activity 7+dfsg-1.2
sugar-pippy-activity 46~dfsg-2
sugar-presence-service-0.84 46~dfsg-2
sugar-presence-service-0.88 0.88.0-3.1
sugar-presence-service-0.90 0.90.2-1
sugar-record-activity 82-1.2
sugar-session-0.96 0.96.1-2.1git1
sugar-terminal-activity 28-1.2
sugar-tools-0.96 0.96.1-2.1git1
sunclock 3.57-2
sunclock-maps 3.57-2
swisswatch 0.6-14
synergy 1.4.12-3ubuntu1
tabble 0.43-2
tangerine-icon-theme 0.27
tango-icon-theme 0.8.90-5ubuntu1
tdc 1.2-1
telak 0.6-1ubuntu2
teleport 0.6-1ubuntu2
termit 2.9.4-2
tightvncserver 1.3.9-6.4ubuntu1
tilda 1.1.11-1
tint2 0.11+svn20121014-1
tinywm 1.3-9
tkdesk 2.0-9.1ubuntu1
torque-client-x11 2.4.16+dfsg-1.3ubuntu1
trayer 1.1.5-1
tritium 0.3.8-2
ttf-opensymbol 0.3.8-2
ttf-opensymbol 0.3.8-2
ttf-wqy-microhei 0.2.0-beta-2
twm 1:1.0.6-1ubuntu1
uim-dict-gtk 1:1.8.6-4ubuntu1
uim-dict-gtk3 1:1.8.6-4ubuntu1
uim-gtk2.0 1:1.8.6-4ubuntu1
