adacgi1 1.6-17
libjs-cropper 1.2.2-1
libjs-debugger 0.5-4
libjs-dojo-core 1.7.2+dfsg-1
libjs-dojo-dijit 1.7.2+dfsg-1
libjs-dojo-dojox 1.7.2+dfsg-1
libjs-edit-area 0.8.2-1
libjs-excanvas 0.r3-3
libjs-extjs 3.4.0+dfsg1-1
libjs-flot 0.8.1+dfsg-2
libjs-flotr 0.2.1~r301-1
libjs-jac 1.3.4+dfsg-1
libjs-jquery 1.7.2+dfsg-2ubuntu1
libjs-jquery-cookie 8-2
libjs-jquery-countdown 8-2
libjs-jquery-easing 8-2
libjs-jquery-event-drag 8-2
libjs-jquery-event-drop 8-2
libjs-jquery-fancybox 8-2
libjs-jquery-form 8-2
libjs-jquery-galleriffic 8-2
libjs-jquery-history 8-2
libjs-jquery-jfeed 8-2
libjs-jquery-jplayer 2.3.4+dfsg-1
libjs-jquery-jush 8-2
libjs-jquery-livequery 8-2
libjs-jquery-meiomask 8-2
libjs-jquery-metadata 8-2
libjs-jquery-mobile 1.2.0+dfsg-2
libjs-jquery-mousewheel 8-2
libjs-jquery-opacityrollover 8-2
libjs-jquery-tablesorter 8-2
libjs-jquery-tipsy 8-2
libjs-jquery-treetable 8-2
libjs-jquery-ui 1.10.1+dfsg-1
libjs-jquery-ui-theme-base 1.8.24+dfsg-1
libjs-jquery-ui-theme-black-tie 1.8.24+dfsg-1
libjs-jquery-ui-theme-blitzer 1.8.24+dfsg-1
libjs-jquery-ui-theme-cupertino 1.8.24+dfsg-1
libjs-jquery-ui-theme-dark-hive 1.8.24+dfsg-1
libjs-jquery-ui-theme-dot-luv 1.8.24+dfsg-1
libjs-jquery-ui-theme-eggplant 1.8.24+dfsg-1
libjs-jquery-ui-theme-excite-bike 1.8.24+dfsg-1
libjs-jquery-ui-theme-flick 1.8.24+dfsg-1
libjs-jquery-ui-theme-hot-sneaks 1.8.24+dfsg-1
libjs-jquery-ui-theme-humanity 1.8.24+dfsg-1
libjs-jquery-ui-theme-le-frog 1.8.24+dfsg-1
libjs-jquery-ui-theme-mint-choc 1.8.24+dfsg-1
libjs-jquery-ui-theme-overcast 1.8.24+dfsg-1
libjs-jquery-ui-theme-pepper-grinder 1.8.24+dfsg-1
libjs-jquery-ui-theme-redmond 1.8.24+dfsg-1
libjs-jquery-ui-theme-smoothness 1.8.24+dfsg-1
libjs-jquery-ui-theme-south-street 1.8.24+dfsg-1
libjs-jquery-ui-theme-start 1.8.24+dfsg-1
libjs-jquery-ui-theme-sunny 1.8.24+dfsg-1
libjs-jquery-ui-theme-swanky-purse 1.8.24+dfsg-1
libjs-jquery-ui-theme-trontastic 1.8.24+dfsg-1
libjs-jquery-ui-theme-ui-darkness 1.8.24+dfsg-1
libjs-jquery-ui-theme-ui-lightness 1.8.24+dfsg-1
libjs-jquery-ui-theme-vader 1.8.24+dfsg-1
libjs-jshash 2.2-4
libjs-mathjax 2.3-1
libjs-mochikit 1.4.2-4fakesync1
libjs-mootools 1.4.5~debian1-2.1
libjs-openlayers 2.11+ds1-1
libjs-prototype 1.7.1-3
libjs-scriptaculous 1.9.0-2
libjs-simile-timeline 2.3.0+dfsg-0.1
libjs-slimbox 2.04-1
libjs-sphinxdoc 1.2.2+dfsg-1ubuntu1.1
libjs-strophe 1.0.1.dfsg-2
libjs-swfobject 2.2+dfsg-1
libjs-swfupload 2.2.0.1+ds1-2
libjs-underscore 1.4.4-2ubuntu1
libjs-xmlextras 20060529-1
libjs-yui 2.9.0.dfsg.0.1-0.1
libjs-yui3-common 3.5.1-1ubuntu3
libjs-yui3-debug 3.5.1-1ubuntu3
libjs-yui3-full 3.5.1-1ubuntu3
libjs-yui3-min 3.5.1-1ubuntu3
libreoffice-script-provider-js 1:4.2.7-0ubuntu2
linkchecker 8.6-2
linkchecker-gui 8.6-2
linkchecker-web 8.6-2
linklint 2.3.5-5
links 2.8-1ubuntu1
links2 2.8-1ubuntu1
llgal 0.13.17-2
logstalgia 1.0.3-4
luakit 2012.09.13-r1-3
lynx 2.8.8pre4-1
lynx-cur 2.8.8pre4-1
lynx-cur-wrapper 2.8.8pre4-1
mailto 1.3.2-3
mantis 1.3.2-3
markdown 1.0.1-7
mediawiki 1:1.19.14+dfsg-1
mediawiki-extensions 3.6
mediawiki-extensions-base 3.6
mediawiki-extensions-collection 3.6
mediawiki-extensions-confirmedit 3.6
mediawiki-extensions-geshi 3.6
mediawiki-extensions-graphviz 3.6
mediawiki-extensions-ldapauth 3.6
mediawiki-extensions-math 2:1.0+git20120528-8
mediawiki-extensions-openid 3.6
mediawiki-math-texvc 2:1.0+git20120528-8
memcached 1.4.14-0ubuntu9
memcachedb 1.2.0-10ubuntu1
micro-proxy 20021030+debian-5
midori 0.4.3+dfsg-0.1
mirmon 2.9-1
mnemosyne-blog 0.12-2
mod-musicindex-common 1.4.1-1
mono-apache-server4 3.0.11-1
mono-fastcgi-server4 3.0.11-1
mono-xsp4 3.0.11-1
mono-xsp4-base 3.0.11-1
movabletype-opensource 5.2.9+dfsg-1
movabletype-plugin-core 5.2.9+dfsg-1
movabletype-plugin-zemanta 5.2.9+dfsg-1
mozilla-diggler 5.2.9+dfsg-1
mozilla-gtk-vnc 5.2.9+dfsg-1
mozilla-livehttpheaders 5.2.9+dfsg-1
mozilla-nukeimage 5.2.9+dfsg-1
mozvoikko 2.0.1-0ubuntu1
mp4h 1.3.1-9
mrtg-rrd 0.7-5
multiwatch 1.0.0-rc1+really1.0.0-1
nanoblogger 3.4.2-3
nanoblogger-extra 3.4.2-2
netrik 1.16.1-1.1
netsurf 2.9-2
netsurf-common 2.9-2
netsurf-fb 2.9-2
netsurf-gtk 2.9-2
nicovideo-dl 0.0.20120212-2
novnc 1:0.4+dfsg+1+20131010+gitf68af8af3d-2
ntlmaps 0.9.9.0.1-11.3ubuntu1
nurpawiki 1.2.3-7build3
ocsinventory-reports 2.0.5-1.1
ocsinventory-server 2.0.5-1.1
omt 0.1.16
openload 0.1.2-2
otrs 3.3.5-1
otrs2 3.3.5-1
parser3 3.4.3-2
parser3-cgi 3.4.3-2
parser3-common 3.4.3-2
parser3-mysql 10.6-2
pavuk 0.9.35-3build1
pear-horde-channel 0.9.35-3build1
perlbal 1.80-2
pgn2web 0.4-1
phamm 0.5.18-3.1
phamm-ldap 0.5.18-3.1
phamm-ldap-amavis 0.5.18-3.1
phamm-ldap-vacation 0.5.18-3.1
php-pear 5.5.9+dfsg-1ubuntu4.7
php5 5.5.9+dfsg-1ubuntu4.7
php5-cgi 5.5.9+dfsg-1ubuntu4.7
php5-cli 5.5.9+dfsg-1ubuntu4.7
php5-common 5.5.9+dfsg-1ubuntu4.7
php5-curl 5.5.9+dfsg-1ubuntu4.7
php5-gd 5.5.9+dfsg-1ubuntu4.7
php5-gmp 5.5.9+dfsg-1ubuntu4.7
php5-imap 5.4.6-0ubuntu5
php5-interbase 5.4.6-0ubuntu5
php5-ldap 5.5.9+dfsg-1ubuntu4.7
php5-mcrypt 5.4.6-0ubuntu5
php5-mysql 5.5.9+dfsg-1ubuntu4.7
php5-odbc 5.5.9+dfsg-1ubuntu4.7
php5-pgsql 5.5.9+dfsg-1ubuntu4.7
php5-pspell 5.5.9+dfsg-1ubuntu4.7
php5-recode 5.5.9+dfsg-1ubuntu4.7
php5-snmp 5.5.9+dfsg-1ubuntu4.7
php5-sqlite 5.5.9+dfsg-1ubuntu4.7
php5-sybase 5.5.9+dfsg-1ubuntu4.7
php5-tidy 5.5.9+dfsg-1ubuntu4.7
php5-xmlrpc 5.5.9+dfsg-1ubuntu4.7
php5-xsl 5.5.9+dfsg-1ubuntu4.7
phpbb3 3.0.12-1
phpmyadmin 4:4.0.10-1
phppgadmin 5.1-1
phpreports 0.4.9-2.1
phpsysinfo 3.0.17-1ubuntu1
phpwebcounter 1.0-2
phpwebcounter-extra 20071108-2
pnopaste 1.5-2
pnopaste-cli 1.5-2
polipo 1.0.4.1-6
poppass-cgi 1.0.4.1-6
prewikka 1.0.0-1.3
privoxy 3.0.21-2
proxytrack 3.48.1-4ubuntu1
pubtal 3.5-1
puf 1.0.0-7
pwget 2010.1012+git5feaa59-2
pyblosxom 1.5.3-1
python-albatross 1.36-5.5
python-albatross-common 1.36-5.5
python-myghty 1.1-5
python-myghtyutils 0.52-4
python-pylons 1.0.1-1
python-quixote 2.7~b2-1
python-quixote1 1.2-5
python-scgi 1.13-1.1build1
qtm 1.3.6-1
radicale 0.8-1
ratproxy 1.58+dfsg-3build1
rawdog 2.19-1
redmine 2.4.2-1
redmine-mysql 2.4.2-1
redmine-pgsql 2.4.2-1
redmine-plugin-botsfilter 2.4.2-1
redmine-sqlite 2.4.2-1
rekonq 2.4.2-0ubuntu1
rest2web 0.5.2~alpha+svn-r248-2
rmagic 2.21-5
roundcube 0.9.5-4
roundcube-core 0.9.5-4
roundcube-mysql 0.9.5-4
roundcube-pgsql 0.9.5-4
roundcube-plugins 0.9.5-4
roundcube-plugins-extra 0.9.2-20130819
roundup 1.4.20-1.1
rpm2html 1.11.2-6
rtgui 0.2.81-5
rtmpdump 2.4+20121230.gitdf6c518-1
rtpg-www 0.2.11-3
ruby-compass 0.12.2~dfsg-4
ruby-sass 3.2.12-1
sa-learn-cyrus 0.3.5-1.1
samidare 0.7-1ubuntu1
samizdat 0.7.0-1
sarg 2.3.6-1build1
sbox-dtc 1.11.7-1
scuttle 0.7.4-8.1
serverstats 0.8.2-10
shellinabox 2.14-1
siege 3.0.5-1
simpleid 0.8.1-13
simpleid-ldap 1.0.0-2
simpleid-store-dynalogin 1.0.0-3ubuntu1
simplesamlphp 1.11.0-1
simplyhtml 0.16.07-1
sitecopy 1:0.16.6-5
skipfish 2.10b-1
smarty-gettext 1.0b1-7
smarty-validate 3.0.3-2
smarty3 3.1.13-1
solr-common 3.6.2+dfsg-2
spawn-fcgi 1.6.3-1
spip 3.0.14-1
spl-webspl 1.0~pre6-4ubuntu1
spotweb 20130826+dfsg2-2
sputnik 12.06.27-2
sqcwa 0.3-3.1
sql-ledger 3.0.5-1
squid 3.3.8-1ubuntu6.2
squid-cgi 3.3.8-1ubuntu6.2
squid-common 3.3.8-1ubuntu6.2
squid-prefetch 1.1-3
squid3 3.3.8-1ubuntu6.2
squid3-common 3.3.8-1ubuntu6.2
